Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_input
GO_Biological_Process_2023,Positive Regulation Of Cyclase Activity (GO:0031281),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Skeletal Muscle Tissue Regeneration (GO:0043403),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,HDGFL2,gainsboro,46
GO_Biological_Process_2023,Smooth Muscle Tissue Development (GO:0048745),0.022460762533194373,0.23770404720752147,0,0,53.88444444444445,204.5445632950525,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),0.024981559511380577,0.23770404720752147,0,0,8.705627705627705,32.1204349890558,ING3;HDGFL2,gainsboro,46
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),0.025701123799877663,0.23770404720752147,0,0,8.568892045454545,31.372603736797195,COL11A1;NF1,gainsboro,46
GO_Biological_Process_2023,Excitatory Synapse Assembly (GO:1904861),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,LRRC4,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,NF1,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Muscle Contraction (GO:0045933),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,CTTN,gainsboro,46
GO_Biological_Process_2023,Inner Dynein Arm Assembly (GO:0036159),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,CCDC39,gainsboro,46
GO_Biological_Process_2023,Astrocyte Development (GO:0014002),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,NF1,gainsboro,46
GO_Biological_Process_2023,Detection Of Mechanical Stimulus Involved In Sensory Perception (GO:0050974),0.026155941835577443,0.23770404720752147,0,0,44.9,163.60118229732768,COL11A1,gainsboro,46
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),0.026429103479421727,0.23770404720752147,0,0,8.436363636363636,30.651751177812685,COL11A1;NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),0.02942376441237364,0.23770404720752147,0,0,7.944664031620554,28.012508939839996,NF1;CALR,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Reproductive Process (GO:2000242),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,CALR,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Sprouting Angiogenesis (GO:1903671),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,EPN2,gainsboro,46
GO_Biological_Process_2023,Camera-Type Eye Morphogenesis (GO:0048593),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,CALR,gainsboro,46
GO_Biological_Process_2023,Regulation Of Tau-Protein Kinase Activity (GO:1902947),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,HSP90AA1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Adenylate Cyclase Activity (GO:0045761),0.029837456692475398,0.23770404720752147,0,0,38.48253968253968,135.15032296921268,NF1,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction (GO:0009968),0.03250911749373357,0.23770404720752147,0,0,4.579734219269103,15.691244256342872,PTPRE;CALR;EPN2,gainsboro,46
GO_Biological_Process_2023,Sympathetic Nervous System Development (GO:0048485),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,NF1,gainsboro,46
GO_Biological_Process_2023,Phosphatidylethanolamine Biosynthetic Process (GO:0006646),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,CEPT1,gainsboro,46
GO_Biological_Process_2023,Central Nervous System Neuron Axonogenesis (GO:0021955),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,HSP90AA1,gainsboro,46
GO_Biological_Process_2023,Motile Cilium Assembly (GO:0044458),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,CCDC39,gainsboro,46
GO_Biological_Process_2023,Myelination In Peripheral Nervous System (GO:0022011),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,NF1,gainsboro,46
GO_Biological_Process_2023,Endocrine System Development (GO:0035270),0.03350535630605552,0.23770404720752147,0,0,33.669444444444444,114.34311556649025,NF1,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Double-Strand Break Repair (GO:2000781),0.034972304003942925,0.23770404720752147,0,0,7.208732057416268,24.17231200826679,ING3;HDGFL2,gainsboro,46
GO_Biological_Process_2023,Spinal Cord Development (GO:0021510),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,NF1,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Neuron Differentiation (GO:0045665),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,CALR,gainsboro,46
GO_Biological_Process_2023,Negative Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030948),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,EPN2,gainsboro,46
GO_Biological_Process_2023,Associative Learning (GO:0008306),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,NF1,gainsboro,46
GO_Biological_Process_2023,Autonomic Nervous System Development (GO:0048483),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,NF1,gainsboro,46
GO_Biological_Process_2023,Postsynaptic Membrane Organization (GO:0001941),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,LRRC4,gainsboro,46
GO_Biological_Process_2023,Positive Regulation Of Adenylate Cyclase Activity (GO:0045762),0.03715968976196986,0.23770404720752147,0,0,29.925925925925927,98.53203024942975,NF1,gainsboro,46
GO_Biological_Process_2023,Epithelial Cilium Movement Involved In Extracellular Fluid Movement (GO:0003351),0.04080050600585634,0.23829860754145082,0,0,26.93111111111111,86.15426173601124,CCDC39,gainsboro,46
GO_Biological_Process_2023,DNA Catabolic Process (GO:0006308),0.04080050600585634,0.23829860754145082,0,0,26.93111111111111,86.15426173601124,REXO4,gainsboro,46
GO_Biological_Process_2023,tRNA 5'-Leader Removal (GO:0001682),0.04080050600585634,0.23829860754145082,0,0,26.93111111111111,86.15426173601124,PRORP,gainsboro,46
GO_Biological_Process_2023,Hepaticobiliary System Development (GO:0061008),0.04080050600585634,0.23829860754145082,0,0,26.93111111111111,86.15426173601124,NF1,gainsboro,46
GO_Biological_Process_2023,Regulation Of Trophoblast Cell Migration (GO:1901163),0.04080050600585634,0.23829860754145082,0,0,26.93111111111111,86.15426173601124,CALR,gainsboro,46
