module,n_unique_genes_in_module,n_deg_priority,fraction_deg_priority,n_priority_gene_contrast_hits,n_priority_contrasts_present,priority_contrasts_present,n_up_priority_rows,n_down_priority_rows,fraction_support,corr_particle_size_um,pval_particle_size_um,padj_particle_size_um,significant_particle_size_um_padj005,significant_particle_size_um_padj010,corr_concentration_gL,pval_concentration_gL,padj_concentration_gL,significant_concentration_gL_padj005,significant_concentration_gL_padj010,corr_is_100nm,pval_is_100nm,padj_is_100nm,significant_is_100nm_padj005,significant_is_100nm_padj010,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,trait_support,module_selected,module_selection_evidence
darkgrey,3266,205,0.06276791181873852,267,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,119,148,True,0.6222385633532057,0.0025949251469398,0.0591962437092719,False,True,0.2162595815785672,0.3464230845333298,0.8097169718156262,False,False,-0.6222385633532057,0.0025949251469398,0.0591962437092722,False,True,particle_size_um,0.6222385633532057,0.0025949251469398,0.0591962437092719,True,True,module_trait;deg_fraction
dimgrey,3883,304,0.07828998197270153,455,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,206,249,True,-0.1867202754883608,0.4176932392721355,0.7331959097856713,False,False,-0.2585372754784483,0.2578060662601495,0.7944407629132736,False,False,0.1867202754883609,0.4176932392721344,0.7331959097856713,False,False,particle_size_um,-0.1867202754883608,0.4176932392721355,0.7331959097856713,False,True,deg_fraction
gainsboro,1124,46,0.04092526690391459,76,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,51,25,True,-0.2764543534617769,0.2250855359964077,0.5934073221723477,False,False,0.4272239294134353,0.0534006023744161,0.6932152267265637,False,False,0.2764543534617769,0.2250855359964077,0.5934073221723477,False,False,particle_size_um,-0.2764543534617769,0.2250855359964077,0.5934073221723477,False,True,deg_fraction
mistyrose,2130,39,0.018309859154929577,45,4,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR,34,11,True,-0.3310821963795141,0.142641678213067,0.5170760835223682,False,False,0.0340484534654238,0.8835130315642905,0.9582423822650646,False,False,0.3310821963795141,0.142641678213067,0.5170760835223682,False,False,particle_size_um,-0.3310821963795141,0.142641678213067,0.5170760835223682,False,True,deg_fraction
white,317,8,0.025236593059936908,9,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,5,4,True,0.1986467889396646,0.3880151304316748,0.7331959097856713,False,False,0.1310379314243439,0.5712769376271718,0.8433143434134178,False,False,-0.1986467889396646,0.3880151304316748,0.7331959097856713,False,False,particle_size_um,0.1986467889396646,0.3880151304316748,0.7331959097856713,False,True,deg_fraction
indianred,216,6,0.027777777777777776,6,1,MC100_vs_MC1,6,0,True,-0.1819862672482625,0.4298044988398762,0.7331959097856713,False,False,0.1495938355000207,0.5174987248897,0.8433143434134178,False,False,0.1819862672482625,0.4298044988398762,0.7331959097856713,False,False,particle_size_um,-0.1819862672482625,0.4298044988398762,0.7331959097856713,False,True,deg_fraction
