gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000164897,TMUB1,transmembrane and ubiquitin like domain containing 1,MA100_vs_MA1,150.2491454028216,1.1995666658190869,0.3023411584474175,3.9675930064537104,7.260218216767426e-05,0.0123469086048901,True,up_in_MA100,darkgrey,darkgrey,7,1.1995666658190869,True,True,up_in_tested,TMUB1
ENSG00000110400,NECTIN1,nectin cell adhesion molecule 1,MA100_vs_MA1,121.16184681421028,-1.3388086746347485,0.3413109918438085,-3.922547783774328,8.761750932125005e-05,0.0137542640113339,True,up_in_MA1,dimgrey,dimgrey,10,1.3388086746347485,True,True,down_in_tested,NECTIN1
ENSG00000103064,SLC7A6,solute carrier family 7 member 6,MA100_vs_MA1,112.71000775360832,-1.2786446219802772,0.3389736307410091,-3.772106459092737,0.0001618751577102,0.0208002620168751,True,up_in_MA1,dimgrey,dimgrey,10,1.2786446219802772,True,True,down_in_tested,SLC7A6
ENSG00000177971,IMP3,IMP U3 small nucleolar ribonucleoprotein 3,MA100_vs_MA1,131.46818597441654,-1.2172349609350543,0.3229863931995361,-3.7686880517689954,0.0001641078259203,0.0208002620168751,True,up_in_MA1,dimgrey,dimgrey,10,1.2172349609350543,True,True,down_in_tested,IMP3
ENSG00000002330,BAD,BCL2 associated agonist of cell death,MA100_vs_MA1,186.45015237286995,1.085225863612011,0.2899828293988476,3.742379732833669,0.000182285780577,0.0218823356889828,True,up_in_MA100,dimgrey,dimgrey,10,1.085225863612011,True,True,up_in_tested,BAD
ENSG00000105700,KXD1,KxDL motif containing 1,MA100_vs_MA1,128.87865023119704,-1.372041337303629,0.3741314865864955,-3.667270428965692,0.0002451534827991,0.0255272407946314,True,up_in_MA1,dimgrey,dimgrey,10,1.372041337303629,True,True,down_in_tested,KXD1
ENSG00000164938,TP53INP1,tumor protein p53 inducible nuclear protein 1,MA100_vs_MA1,170.00518495820452,-1.1728320688681624,0.3237937463335264,-3.622157877194074,0.0002921557169934,0.0277310129978819,True,up_in_MA1,dimgrey,dimgrey,10,1.1728320688681624,True,True,down_in_tested,TP53INP1
ENSG00000160072,ATAD3B,ATPase family AAA domain containing 3B,MA100_vs_MA1,188.1537905359245,1.034735760196077,0.2894367812333439,3.574997468486471,0.0003502312849124,0.0296233639712231,True,up_in_MA100,darkgrey,darkgrey,7,1.034735760196077,True,True,up_in_tested,ATAD3B
ENSG00000161677,JOSD2,Josephin domain containing 2,MA100_vs_MA1,181.87655812916145,1.3666205829618725,0.4011973278987652,3.406355147277337,0.0006583647612577,0.0433621665151362,True,up_in_MA100,white,white,28,1.3666205829618725,True,True,up_in_tested,JOSD2
ENSG00000173581,CCDC106,coiled-coil domain containing 106,MA100_vs_MA1,114.10987052217126,1.0736287816771284,0.319904833930395,3.35608802307354,0.0007905340356737,0.0481576815910827,True,up_in_MA100,white,white,28,1.0736287816771284,True,True,up_in_tested,CCDC106
ENSG00000144134,RABL2A,"RAB, member of RAS oncogene family like 2A",MA100_vs_MA1,123.97987279146751,1.4194032607733784,0.4240141682188802,3.3475373399331048,0.0008153300309264,0.0485805769522085,True,up_in_MA100,darkgrey,darkgrey,7,1.4194032607733784,True,True,up_in_tested,RABL2A
ENSG00000173641,HSPB7,heat shock protein family B (small) member 7,MA100_vs_MA1,283.1875582861836,1.053731742565534,0.3191157441967153,3.3020362101469143,0.0009598567808908,0.0518894761749147,False,up_in_MA100,darkgrey,darkgrey,7,1.053731742565534,True,True,up_in_tested,HSPB7
ENSG00000148296,SURF6,surfeit 6,MA100_vs_MA1,125.32604362624112,1.3306439223130764,0.4122796477414462,3.22752755223941,0.0012486501542402,0.0602854822047388,False,up_in_MA100,dimgrey,dimgrey,10,1.3306439223130764,True,True,up_in_tested,SURF6
ENSG00000075399,VPS9D1,VPS9 domain containing 1,MA100_vs_MA1,175.93495688241626,-1.0743824268059332,0.3403138326866743,-3.157034253718135,0.0015938262252725,0.0660426572431457,False,up_in_MA1,mistyrose,mistyrose,17,1.0743824268059332,True,True,down_in_tested,VPS9D1
ENSG00000174917,MICOS13,mitochondrial contact site and cristae organizing system subunit 13,MA100_vs_MA1,434.58478843278846,1.2434497685736978,0.4003023116457237,3.106276762334008,0.0018945930093772,0.0712698743573582,False,up_in_MA100,dimgrey,dimgrey,10,1.2434497685736978,True,True,up_in_tested,MICOS13
ENSG00000129932,DOHH,deoxyhypusine hydroxylase,MA100_vs_MA1,328.38547731203874,1.3100618015515182,0.4242599181294249,3.0878754875728567,0.0020159291628554,0.073137910028396,False,up_in_MA100,darkgrey,darkgrey,7,1.3100618015515182,True,True,up_in_tested,DOHH
ENSG00000152061,RABGAP1L,RAB GTPase activating protein 1 like,MA100_vs_MA1,170.38065415008123,-1.0070105990702838,0.3278881501875506,-3.071201562161604,0.0021319917490048,0.0756671680309861,False,up_in_MA1,dimgrey,dimgrey,10,1.0070105990702838,True,True,down_in_tested,RABGAP1L
ENSG00000213339,QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1,MA100_vs_MA1,161.38772958887898,1.1390596454768722,0.3712496320264571,3.0681771703296854,0.0021536888955845,0.0761063309725408,False,up_in_MA100,darkgrey,darkgrey,7,1.1390596454768722,True,True,up_in_tested,QTRT1
ENSG00000174804,FZD4,frizzled class receptor 4,MA100_vs_MA1,163.80415033332017,-1.0538811505099424,0.346886364112473,-3.038116396435336,0.0023806198282564,0.0804779459873658,False,up_in_MA1,dimgrey,dimgrey,10,1.0538811505099424,True,True,down_in_tested,FZD4
ENSG00000142227,EMP3,epithelial membrane protein 3 (MAM blood group),MA100_vs_MA1,579.3131272155529,1.290545878992462,0.4322455484740805,2.9856776629588566,0.0028295072253074,0.0874894868166464,False,up_in_MA100,dimgrey,dimgrey,10,1.290545878992462,True,True,up_in_tested,EMP3
ENSG00000100911,PSME2,proteasome activator subunit 2,MA100_vs_MA1,180.80351579731328,-1.6575526219862589,0.5583325482278368,-2.968755139293558,0.0029900875851664,0.0893064655471768,False,up_in_MA1,dimgrey,dimgrey,10,1.6575526219862589,True,True,down_in_tested,PSME2
ENSG00000160014,CALM3,calmodulin 3,MA100_vs_MA1,166.67465521697036,-1.0403968422471386,0.3544489773303703,-2.9352513585542623,0.0033327759184117,0.0954577186736673,False,up_in_MA1,dimgrey,dimgrey,10,1.0403968422471386,True,True,down_in_tested,CALM3
ENSG00000088247,KHSRP,KH-type splicing regulatory protein,MC100_vs_MC1,15337.842456190008,-1.2854897610151803,0.1644875077190789,-7.815120910036601,5.491029487320631e-15,2.889105164753749e-11,True,up_in_MC1,dimgrey,dimgrey,10,1.2854897610151803,True,True,down_in_tested,KHSRP
ENSG00000040275,SPDL1,spindle apparatus coiled-coil protein 1,MC100_vs_MC1,2053.584630920412,-1.3335132406328682,0.1721175025182864,-7.747691089644941,9.35784495459943e-15,3.282420081908327e-11,True,up_in_MC1,dimgrey,dimgrey,10,1.3335132406328682,True,True,down_in_tested,SPDL1
ENSG00000131747,TOP2A,DNA topoisomerase II alpha,MC100_vs_MC1,19915.80713610476,-1.1861397805625902,0.157205807957132,-7.545139686480509,4.5180297187675557e-14,8.641774750674016e-11,True,up_in_MC1,dimgrey,dimgrey,10,1.1861397805625902,True,True,down_in_tested,TOP2A
ENSG00000177469,CAVIN1,caveolae associated protein 1,MC100_vs_MC1,37010.12370449971,-1.0604084794979445,0.1407529260867549,-7.533829022100384,4.9273637274583393e-14,8.641774750674016e-11,True,up_in_MC1,darkgrey,darkgrey,7,1.0604084794979445,True,True,down_in_tested,CAVIN1
ENSG00000147133,TAF1,TATA-box binding protein associated factor 1,MC100_vs_MC1,1810.4761484837784,-1.4348529651006268,0.1928670396780626,-7.43959656090388,1.009932560744961e-13,1.3401721983546128e-10,True,up_in_MC1,darkgrey,darkgrey,7,1.4348529651006268,True,True,down_in_tested,TAF1
ENSG00000089597,GANAB,glucosidase II alpha subunit,MC100_vs_MC1,4782.589328160444,-1.3667804896073903,0.1837457089207793,-7.4384348763032495,1.0188518090693629e-13,1.3401721983546128e-10,True,up_in_MC1,darkgrey,darkgrey,7,1.3667804896073903,True,True,down_in_tested,GANAB
ENSG00000196396,PTPN1,protein tyrosine phosphatase non-receptor type 1,MC100_vs_MC1,3192.7096209888164,-1.1658290819783002,0.1574651188507182,-7.403729095607149,1.324124151604029e-13,1.5481953830365774e-10,True,up_in_MC1,darkgrey,darkgrey,7,1.1658290819783002,True,True,down_in_tested,PTPN1
ENSG00000008441,NFIX,nuclear factor I X,MC100_vs_MC1,5189.567813353778,-1.24707837859396,0.1746189937972632,-7.141710941490406,9.21762819999782e-13,8.817918322597915e-10,True,up_in_MC1,darkgrey,darkgrey,7,1.24707837859396,True,True,down_in_tested,NFIX
ENSG00000168028,RPSA,ribosomal protein SA,MC100_vs_MC1,5151.861286618799,1.1562419520992335,0.1637751882273808,7.0599335870946485,1.6658220078505878e-12,1.460787082384311e-09,True,up_in_MC100,dimgrey,dimgrey,10,1.1562419520992335,True,True,up_in_tested,RPSA
ENSG00000159674,SPON2,spondin 2,MC100_vs_MC1,16014.627214830864,-1.030659467034711,0.1467520257613272,-7.023136216946964,2.169425160874069e-12,1.756066228298294e-09,True,up_in_MC1,darkgrey,darkgrey,7,1.030659467034711,True,True,down_in_tested,SPON2
ENSG00000156508,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,MC100_vs_MC1,16866.293433799718,1.1586635176903932,0.1658056686212445,6.988081452975937,2.786705972285872e-12,2.094607639026016e-09,True,up_in_MC100,mistyrose,mistyrose,17,1.1586635176903932,True,True,up_in_tested,EEF1A1
ENSG00000197958,RPL12,ribosomal protein L12,MC100_vs_MC1,5865.852436328154,1.1977741878998192,0.1738600575604123,6.889300536919588,5.606737751506582e-12,3.933313423940251e-09,True,up_in_MC100,dimgrey,dimgrey,10,1.1977741878998192,True,True,up_in_tested,RPL12
ENSG00000126950,TMEM35A,transmembrane protein 35A,MC100_vs_MC1,1030.5756282938896,-1.09106043794582,0.1587735960574033,-6.871800255448996,6.339668436334587e-12,4.169520684721803e-09,True,up_in_MC1,darkgrey,darkgrey,7,1.09106043794582,True,True,down_in_tested,TMEM35A
ENSG00000129245,FXR2,FMR1 autosomal homolog 2,MC100_vs_MC1,1798.556600262563,-1.1493089867933397,0.1677753986847124,-6.850283151185641,7.370395725559666e-12,4.562274954121434e-09,True,up_in_MC1,darkgrey,darkgrey,7,1.1493089867933397,True,True,down_in_tested,FXR2
ENSG00000125844,RRBP1,ribosome binding protein 1,MC100_vs_MC1,6798.541616970312,-1.1548999481348097,0.1701313033526513,-6.788286020127123,1.1347352095377322e-11,6.6337881166475305e-09,True,up_in_MC1,dimgrey,dimgrey,10,1.1548999481348097,True,True,down_in_tested,RRBP1
ENSG00000153140,CETN3,centrin 3,MC100_vs_MC1,3844.045427066833,-1.5958227129028768,0.2356488345277025,-6.772037366962976,1.2698132993407427e-11,7.032760709980336e-09,True,up_in_MC1,dimgrey,dimgrey,10,1.5958227129028768,True,True,down_in_tested,CETN3
ENSG00000070614,NDST1,N-deacetylase and N-sulfotransferase 1,MC100_vs_MC1,4072.7930544885858,-1.106661005812294,0.1641662719908461,-6.741098475294614,1.5719361737355972e-11,7.78832182185608e-09,True,up_in_MC1,darkgrey,darkgrey,7,1.106661005812294,True,True,down_in_tested,NDST1
ENSG00000051128,HOMER3,homer scaffold protein 3,MC100_vs_MC1,1973.4135357741288,-1.2517956506234438,0.1860157051664018,-6.729515927182815,1.7022845377049306e-11,7.78832182185608e-09,True,up_in_MC1,dimgrey,dimgrey,10,1.2517956506234438,True,True,down_in_tested,HOMER3
ENSG00000122565,CBX3,chromobox 3,MC100_vs_MC1,10607.247831257297,-1.0770858747581635,0.1605690872733327,-6.707927989430915,1.9740729846968345e-11,8.309268007185914e-09,True,up_in_MC1,dimgrey,dimgrey,10,1.0770858747581635,True,True,down_in_tested,CBX3
ENSG00000136295,TTYH3,tweety family member 3,MC100_vs_MC1,2235.948871934839,-1.0004258544098583,0.1503008310948982,-6.656156503740164,2.8108095131895008e-11,1.1376210964343513e-08,True,up_in_MC1,darkgrey,darkgrey,7,1.0004258544098583,True,True,down_in_tested,TTYH3
ENSG00000198858,R3HDM4,R3H domain containing 4,MC100_vs_MC1,583.7607344761011,-1.6499154023030007,0.2497692692981455,-6.605758214128109,3.954879150853489e-11,1.5413775297937506e-08,True,up_in_MC1,darkgrey,darkgrey,7,1.6499154023030007,True,True,down_in_tested,R3HDM4
ENSG00000134419,RPS15A,ribosomal protein S15a,MC100_vs_MC1,4715.482206051732,1.1005439543029505,0.166881988078883,6.5947437885431786,4.259908806372613e-11,1.5992208337591567e-08,True,up_in_MC100,dimgrey,dimgrey,10,1.1005439543029505,True,True,up_in_tested,RPS15A
ENSG00000159202,UBE2Z,ubiquitin conjugating enzyme E2 Z,MC100_vs_MC1,2393.4921894892345,-1.2746049503672534,0.1939567006668074,-6.571595340533555,4.977899590771037e-11,1.6897560449575362e-08,True,up_in_MC1,dimgrey,dimgrey,10,1.2746049503672534,True,True,down_in_tested,UBE2Z
ENSG00000172663,TMEM134,transmembrane protein 134,MC100_vs_MC1,402.3700132532575,-1.0086329068898878,0.158361593147946,-6.369176306199404,1.9004605027401287e-10,5.405012397387672e-08,True,up_in_MC1,darkgrey,darkgrey,7,1.0086329068898878,True,True,down_in_tested,TMEM134
ENSG00000061273,HDAC7,histone deacetylase 7,MC100_vs_MC1,1923.7948743669504,-1.2258839026847812,0.1930249680839388,-6.3509084594263125,2.1404706024383517e-10,5.927413723541786e-08,True,up_in_MC1,dimgrey,dimgrey,10,1.2258839026847812,True,True,down_in_tested,HDAC7
ENSG00000114902,SPCS1,signal peptidase complex subunit 1,MC100_vs_MC1,1293.3888169478278,1.101702791539795,0.1736174888166523,6.3455749708673705,2.2159624943412355e-10,5.97912136614175e-08,True,up_in_MC100,dimgrey,dimgrey,10,1.101702791539795,True,True,up_in_tested,SPCS1
ENSG00000011405,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,MC100_vs_MC1,1098.6657039290528,-1.0692523509565075,0.1688074522597616,-6.334153715625882,2.3864750207507436e-10,6.27821916084002e-08,True,up_in_MC1,darkgrey,darkgrey,7,1.0692523509565075,True,True,down_in_tested,PIK3C2A
ENSG00000162385,MAGOH,"mago homolog, exon junction complex subunit",MC100_vs_MC1,1381.4018831955664,-1.3527962961989028,0.2159311692529003,-6.264942207646255,3.729637042361879e-10,9.34451680875573e-08,True,up_in_MC1,darkgrey,darkgrey,7,1.3527962961989028,True,True,down_in_tested,MAGOH
ENSG00000125746,EML2,EMAP like 2,MC100_vs_MC1,1368.2437222800636,-1.9515912678453893,0.3155289606026056,-6.1851414973706005,6.204678992491155e-10,1.5044478026510836e-07,True,up_in_MC1,dimgrey,dimgrey,10,1.9515912678453893,True,True,down_in_tested,EML2
ENSG00000100591,AHSA1,activator of HSP90 ATPase activity 1,MC100_vs_MC1,2412.32067618474,-1.115238127789945,0.1803724913383302,-6.18297235634484,6.290573345685421e-10,1.5044478026510836e-07,True,up_in_MC1,darkgrey,darkgrey,7,1.115238127789945,True,True,down_in_tested,AHSA1
ENSG00000071243,ING3,inhibitor of growth family member 3,MC100_vs_MC1,589.3063013994245,-1.1922453449418258,0.1933262591766978,-6.167011920776514,6.959251307034609e-10,1.592004380520113e-07,True,up_in_MC1,gainsboro,gainsboro,12,1.1922453449418258,True,True,down_in_tested,ING3
ENSG00000164896,FASTK,Fas activated serine/threonine kinase,MC100_vs_MC1,1819.0409885827448,-1.2281736350761865,0.1994168325054616,-6.158826311929055,7.328604887525397e-10,1.640827855987867e-07,True,up_in_MC1,darkgrey,darkgrey,7,1.2281736350761865,True,True,down_in_tested,FASTK
ENSG00000118900,UBN1,ubinuclein 1,MC100_vs_MC1,2810.6037820954302,-1.0445228219999416,0.1700402932980864,-6.1427959323079815,8.108142416634842e-10,1.7775413052135096e-07,True,up_in_MC1,darkgrey,darkgrey,7,1.0445228219999416,True,True,down_in_tested,UBN1
ENSG00000147604,RPL7,ribosomal protein L7,MC100_vs_MC1,3941.196427552164,1.111180273148304,0.182017968646976,6.104783398079995,1.029401865955647e-09,2.005999228787273e-07,True,up_in_MC100,dimgrey,dimgrey,10,1.111180273148304,True,True,up_in_tested,RPL7
ENSG00000107949,BCCIP,BRCA2 and CDKN1A interacting protein,MC100_vs_MC1,1416.0376483098114,-1.3188247712762953,0.2185977607093804,-6.03311199070166,1.6083187117958874e-09,2.868531831225107e-07,True,up_in_MC1,gainsboro,gainsboro,12,1.3188247712762953,True,True,down_in_tested,BCCIP
ENSG00000030582,GRN,granulin precursor,MC100_vs_MC1,3583.315617995248,-1.3625969799626076,0.2263072460702068,-6.021004645780947,1.7333778255924402e-09,3.040055809784875e-07,True,up_in_MC1,darkgrey,darkgrey,7,1.3625969799626076,True,True,down_in_tested,GRN
ENSG00000143742,SRP9,signal recognition particle 9,MC100_vs_MC1,780.4455517808592,1.2407330464299369,0.2064129973980517,6.010925000218264,1.8446773717440451e-09,3.182219669321737e-07,True,up_in_MC100,dimgrey,dimgrey,10,1.2407330464299369,True,True,up_in_tested,SRP9
ENSG00000145425,RPS3A,ribosomal protein S3A,MC100_vs_MC1,2692.3438674236004,1.0722786443844707,0.1795631951962362,5.971594809351813,2.349454600907664e-09,3.924335042119261e-07,True,up_in_MC100,dimgrey,dimgrey,10,1.0722786443844707,True,True,up_in_tested,RPS3A
ENSG00000185112,FAM43A,family with sequence similarity 43 member A,MC100_vs_MC1,1161.6775496484256,-1.1085285208209277,0.1869965560080579,-5.92806918205039,3.065173664868744e-09,4.887094314456635e-07,True,up_in_MC1,darkgrey,darkgrey,7,1.1085285208209277,True,True,down_in_tested,FAM43A
ENSG00000110492,MDK,midkine,MC100_vs_MC1,141.0698473189035,1.622251830024484,0.2739651238980616,5.921380820093364,3.192496245759394e-09,5.014125073750165e-07,True,up_in_MC100,dimgrey,dimgrey,10,1.622251830024484,True,True,up_in_tested,MDK
ENSG00000214357,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,MC100_vs_MC1,1332.745787913101,-1.1292665988809318,0.1965235740929343,-5.746214438105584,9.126355401248668e-09,1.307739988667738e-06,True,up_in_MC1,dimgrey,dimgrey,10,1.1292665988809318,True,True,down_in_tested,NEURL1B
ENSG00000183258,DDX41,DEAD-box helicase 41,MC100_vs_MC1,984.5440202757154,-1.0058897726514675,0.1750801154151518,-5.745311340846967,9.175200544697582e-09,1.307739988667738e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.0058897726514675,True,True,down_in_tested,DDX41
ENSG00000184752,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,MC100_vs_MC1,1321.7087687647838,1.106014122971912,0.1925202856011647,5.7449225130654025,9.196308957655858e-09,1.307739988667738e-06,True,up_in_MC100,dimgrey,dimgrey,10,1.106014122971912,True,True,up_in_tested,NDUFA12
ENSG00000133895,MEN1,menin 1,MC100_vs_MC1,749.3106295153898,-1.009430867469478,0.1761034116647491,-5.732034705784959,9.923296082124277e-09,1.39230459562925e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.009430867469478,True,True,down_in_tested,MEN1
ENSG00000221823,PPP3R1,"protein phosphatase 3 regulatory subunit B, alpha",MC100_vs_MC1,3062.339934357226,-1.012597911248795,0.1772727143826443,-5.712091196748393,1.1159625333436588e-08,1.5451675971546476e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.012597911248795,True,True,down_in_tested,PPP3R1
ENSG00000261221,ZNF865,zinc finger protein 865,MC100_vs_MC1,308.60479211925525,-1.7488782465590946,0.3072215810677257,-5.692563134663258,1.2514629980368275e-08,1.6669803959925996e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.7488782465590946,True,True,down_in_tested,ZNF865
ENSG00000108604,SMARCD2,SWI/SNF related BAF chromatin remodeling complex subunit D2,MC100_vs_MC1,1067.6333582283112,-1.222617140734439,0.2156417674273523,-5.669667594179441,1.4307483439793924e-08,1.858736397987055e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.222617140734439,True,True,down_in_tested,SMARCD2
ENSG00000104805,NUCB1,nucleobindin 1,MC100_vs_MC1,1131.8030812993472,-1.0107848909740067,0.178697312873332,-5.656407892884727,1.545738693483848e-08,1.9227896352070485e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.0107848909740067,True,True,down_in_tested,NUCB1
ENSG00000126457,PRMT1,protein arginine methyltransferase 1,MC100_vs_MC1,4517.070418965891,-1.3707486398013338,0.2429305234199403,-5.642554177647729,1.6754578883349658e-08,1.9858813218817632e-06,True,up_in_MC1,darkgrey,darkgrey,7,1.3707486398013338,True,True,down_in_tested,PRMT1
