node_name,gene_id,gene_symbol,string_gene_label,gene_name,primary_module,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,module_selection_evidence,module_selected,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,fraction_deg_priority,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MA1_vs_CTR,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MA1_vs_CTR,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MA1_vs_CTR,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR,n_unique_genes_in_module,n_deg_priority,n_priority_contrasts_present,priority_contrasts_present,fraction_support,trait_support
GGT7,ENSG00000131067,GGT7,GGT7,gamma-glutamyltransferase 7,white,white,MC100_vs_MC1,1,1,0.0819821141502062,1.2870192634443192,1.2870192634443192,MC100_vs_MC1,-1.2870192634443192,0.0819821141502062,down_in_tested,0,1,deg_fraction,True,particle_size_um,0.1986467889396642,0.388015130431676,0.7331959097856707,0.01892744479495268,,,,-1.2870192634443192,,,,,,0.0819821141502062,,,,,,down_in_tested,,,317,6,4,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
MTM1,ENSG00000171100,MTM1,MTM1,myotubularin 1,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0822563813967376,1.4464261755588192,1.4464261755588192,MC100_vs_MC1,1.4464261755588192,0.0822563813967376,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.4464261755588192,,,,,,0.0822563813967376,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TVP23B,ENSG00000171928,TVP23B,TVP23B,trans-golgi network vesicle protein 23 homolog B,mistyrose,mistyrose,MC100_vs_MC1,1,1,0.0825359369325424,1.0006821807318955,1.0006821807318955,MC100_vs_MC1,1.0006821807318955,0.0825359369325424,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.3310821963795144,0.1426416782130668,0.5170760835223672,0.01784037558685446,,,,1.0006821807318955,,,,,,0.0825359369325424,,,,,,up_in_tested,,,2130,38,3,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,True,False
CCR10,ENSG00000184451,CCR10,CCR10,C-C motif chemokine receptor 10,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.083121813568453,1.18846619544211,1.18846619544211,MC100_vs_MC1,-1.18846619544211,0.083121813568453,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.18846619544211,,,,,,0.083121813568453,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PTPRU,ENSG00000060656,PTPRU,PTPRU,protein tyrosine phosphatase receptor type U,darkgrey,darkgrey,MC100_vs_MC1,1,1,0.0836686071229874,1.1877771298076465,1.1877771298076465,MC100_vs_MC1,-1.1877771298076465,0.0836686071229874,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1877771298076465,,,,,,0.0836686071229874,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
TDRP,ENSG00000180190,TDRP,TDRP,testis development related protein,darkgrey,darkgrey,MA100_vs_CTR,1,1,0.0848862649496448,1.1221741491592614,1.1221741491592614,MA100_vs_CTR,1.1221741491592614,0.0848862649496448,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.1221741491592614,,,,,,0.0848862649496448,,,,,,up_in_tested,,,,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
HPS3,ENSG00000163755,HPS3,HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1,dimgrey,dimgrey,MC100_vs_MC1,1,1,0.0848951916362883,1.7872322898320838,1.7872322898320838,MC100_vs_MC1,1.7872322898320838,0.0848951916362883,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.7872322898320838,,,,,,0.0848951916362883,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PPIL2,ENSG00000100023,PPIL2,PPIL2,peptidylprolyl isomerase like 2,darkgrey,darkgrey,MA100_vs_CTR,1,1,0.0850909993448219,1.3169298909859626,1.3169298909859626,MA100_vs_CTR,1.3169298909859626,0.0850909993448219,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.3169298909859626,,,,,,0.0850909993448219,,,,,,up_in_tested,,,,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
MRPL49,ENSG00000149792,MRPL49,MRPL49,mitochondrial ribosomal protein L49,dimgrey,dimgrey,MA100_vs_CTR,1,1,0.0857266395057037,1.1830535852614816,1.1830535852614816,MA100_vs_CTR,-1.1830535852614816,0.0857266395057037,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.1830535852614816,,,,,,0.0857266395057037,,,,,,down_in_tested,,,,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
ZSCAN12,ENSG00000158691,ZSCAN12,ZSCAN12,zinc finger and SCAN domain containing 12,mistyrose,mistyrose,MC100_vs_MC1,1,1,0.0874037231017039,1.0303992317254205,1.0303992317254205,MC100_vs_MC1,1.0303992317254205,0.0874037231017039,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.3310821963795144,0.1426416782130668,0.5170760835223672,0.01784037558685446,,,,1.0303992317254205,,,,,,0.0874037231017039,,,,,,up_in_tested,,,2130,38,3,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,True,False
