node_name,gene_id,gene_symbol,string_gene_label,gene_name,primary_module,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,module_selection_evidence,module_selected,best_module_trait,best_module_trait_corr,best_module_trait_pval,best_module_trait_padj,fraction_deg_priority,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MA1_vs_CTR,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MA1_vs_CTR,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MA1_vs_CTR,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR,n_unique_genes_in_module,n_deg_priority,n_priority_contrasts_present,priority_contrasts_present,fraction_support,trait_support
FAM43A,ENSG00000185112,FAM43A,FAM43A,family with sequence similarity 43 member A,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.1558529213196465e-12,1.5570335094872687,1.326333347425915,MC1_vs_CTR,1.5570335094872687,1.1558529213196465e-12,up_in_tested,3,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.4769340700865805,,,-1.1085285208524485,1.5570335094872687,1.1628372892773622,4.102258031085522e-11,,,4.887151580918993e-07,1.1558529213196465e-12,4.624193631789457e-07,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
KHSRP,ENSG00000088247,KHSRP,KHSRP,KH-type splicing regulatory protein,dimgrey,dimgrey,MC100_vs_MC1,1,1,2.8892027536928115e-11,1.2854897610269318,1.2854897610269318,MC100_vs_MC1,-1.2854897610269318,2.8892027536928115e-11,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.2854897610269318,,,,,,2.8892027536928115e-11,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SPDL1,ENSG00000040275,SPDL1,SPDL1,spindle apparatus coiled-coil protein 1,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.282504325242893e-11,1.3335132406044268,1.2326177424271039,MC100_vs_MC1,-1.3335132406044268,3.282504325242893e-11,down_in_tested,2,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.2147089801740043,,,-1.3335132406044268,1.14963100650288,,5.142115801155093e-09,,,3.282504325242893e-11,2.989517567035246e-08,,up_in_tested,,,down_in_tested,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TOP2A,ENSG00000131747,TOP2A,TOP2A,DNA topoisomerase II alpha,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1,2,2,8.642102235146583e-11,1.1861397805459029,1.1121812225672458,MC100_vs_MC1,-1.1861397805459029,8.642102235146583e-11,down_in_tested,1,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.0382226645885888,,,-1.1861397805459029,,,5.9169565164657603e-08,,,8.642102235146583e-11,,,up_in_tested,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CAVIN1,ENSG00000177469,CAVIN1,CAVIN1,caveolae associated protein 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,8.642102235146583e-11,1.0604084794958475,1.0604084794958475,MC100_vs_MC1,-1.0604084794958475,8.642102235146583e-11,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0604084794958475,,,,,,8.642102235146583e-11,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
TAF1,ENSG00000147133,TAF1,TAF1,TATA-box binding protein associated factor 1,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.3402090357982539e-10,1.4348529650545234,1.3290256319748783,MC100_vs_MC1,-1.4348529650545234,1.3402090357982539e-10,down_in_tested,3,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.281241944512294,,,-1.4348529650545234,1.225511764405642,1.3744958539270538,5.542745802605956e-08,,,1.3402090357982539e-10,1.813938519139144e-07,2.594879714909407e-09,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
GANAB,ENSG00000089597,GANAB,GANAB,glucosidase II alpha subunit,darkgrey,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.3402090357982539e-10,1.3667804896600984,1.2030936676715227,MC100_vs_MC1,-1.3667804896600984,1.3402090357982539e-10,down_in_tested,2,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,1.1330502177304471,,,-1.3667804896600984,1.1094502956240229,,4.778329206121721e-07,,,1.3402090357982539e-10,7.89830175007651e-07,,up_in_tested,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
PTPN1,ENSG00000196396,PTPN1,PTPN1,protein tyrosine phosphatase non-receptor type 1,darkgrey,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,1.5482381054015902e-10,1.1658290819383714,1.0890233850532072,MC100_vs_MC1,-1.1658290819383714,1.5482381054015902e-10,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1658290819383714,1.0122176881680427,,,,,1.5482381054015902e-10,1.4124389110047006e-07,,,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
NFIX,ENSG00000008441,NFIX,NFIX,nuclear factor I X,darkgrey,darkgrey,MC100_vs_MC1,1,1,8.81841057250555e-10,1.2470783785994406,1.2470783785994406,MC100_vs_MC1,-1.2470783785994406,8.81841057250555e-10,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.2470783785994406,,,,,,8.81841057250555e-10,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
UBE2Z,ENSG00000159202,UBE2Z,UBE2Z,ubiquitin conjugating enzyme E2 Z,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,1.3631867643428367e-09,1.4049081733449362,1.3158386085613942,MC1_vs_CTR,1.4049081733449362,1.3631867643428367e-09,up_in_tested,2,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.2680027019714106,,,-1.2746049503678356,1.4049081733449362,,8.651590643693049e-08,,,1.689754525377383e-08,1.3631867643428367e-09,,up_in_tested,,,down_in_tested,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
RPSA,ENSG00000168028,RPSA,RPSA,ribosomal protein SA,dimgrey,dimgrey,MC100_vs_MC1,1,1,1.4608262260693895e-09,1.1562419520715033,1.1562419520715033,MC100_vs_MC1,1.1562419520715033,1.4608262260693895e-09,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.1562419520715033,,,,,,1.4608262260693895e-09,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SPON2,ENSG00000159674,SPON2,SPON2,spondin 2,darkgrey,darkgrey,MC100_vs_MC1,1,1,1.7561212150222363e-09,1.0306594670801883,1.0306594670801883,MC100_vs_MC1,-1.0306594670801883,1.7561212150222363e-09,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0306594670801883,,,,,,1.7561212150222363e-09,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
EEF1A1,ENSG00000156508,EEF1A1,EEF1A1,eukaryotic translation elongation factor 1 alpha 1,mistyrose,mistyrose,MC100_vs_MC1,1,1,2.0946718507209747e-09,1.1586635177047184,1.1586635177047184,MC100_vs_MC1,1.1586635177047184,2.0946718507209747e-09,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.3310821963795144,0.1426416782130668,0.5170760835223672,0.01784037558685446,,,,1.1586635177047184,,,,,,2.0946718507209747e-09,,,,,,up_in_tested,,,2130,38,3,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,True,False
MAP2K3,ENSG00000034152,MAP2K3,MAP2K3,mitogen-activated protein kinase kinase 3,darkgrey,darkgrey,MD1_vs_CTR,1,1,2.594879714909407e-09,1.043857164811579,1.043857164811579,MD1_vs_CTR,1.043857164811579,2.594879714909407e-09,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,,,1.043857164811579,,,,,,2.594879714909407e-09,,,,,,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
RPL12,ENSG00000197958,RPL12,RPL12,ribosomal protein L12,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.933273147923957e-09,1.1977741878982109,1.0988631363917047,MC100_vs_MC1,1.1977741878982109,3.933273147923957e-09,up_in_tested,1,2,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.0370119893873282,,,1.1977741878982109,-1.0618032318895751,,1.4829364865659682e-06,,,3.933273147923957e-09,5.539042100145227e-07,,down_in_tested,,,up_in_tested,down_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TMEM35A,ENSG00000126950,TMEM35A,TMEM35A,transmembrane protein 35A,darkgrey,darkgrey,MC100_vs_MC1,1,1,4.169590477141862e-09,1.0910604383839488,1.0910604383839488,MC100_vs_MC1,-1.0910604383839488,4.169590477141862e-09,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0910604383839488,,,,,,4.169590477141862e-09,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
FXR2,ENSG00000129245,FXR2,FXR2,FMR1 autosomal homolog 2,darkgrey,darkgrey,MC100_vs_MC1,1,1,4.562364455621805e-09,1.1493089868120694,1.1493089868120694,MC100_vs_MC1,-1.1493089868120694,4.562364455621805e-09,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1493089868120694,,,,,,4.562364455621805e-09,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
RRBP1,ENSG00000125844,RRBP1,RRBP1,ribosome binding protein 1,dimgrey,dimgrey,MC100_vs_MC1,1,1,6.634190238242506e-09,1.154899948168559,1.154899948168559,MC100_vs_MC1,-1.154899948168559,6.634190238242506e-09,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.154899948168559,,,,,,6.634190238242506e-09,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CETN3,ENSG00000153140,CETN3,CETN3,centrin 3,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,7.032760709985156e-09,1.5958227129028706,1.341229640467463,MC100_vs_MC1,-1.5958227129028706,7.032760709985156e-09,down_in_tested,2,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.2190383700122356,,,-1.5958227129028706,1.2088278384872824,,4.009317995162229e-05,,,7.032760709985156e-09,3.639855494287121e-05,,up_in_tested,,,down_in_tested,up_in_tested,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
HOMER3,ENSG00000051128,HOMER3,HOMER3,homer scaffold protein 3,dimgrey,dimgrey,MC100_vs_MC1,1,1,7.788464232700058e-09,1.251795650726758,1.251795650726758,MC100_vs_MC1,-1.251795650726758,7.788464232700058e-09,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.251795650726758,,,,,,7.788464232700058e-09,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
NDST1,ENSG00000070614,NDST1,NDST1,N-deacetylase and N-sulfotransferase 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,7.788464232700058e-09,1.1066610058542146,1.1066610058542146,MC100_vs_MC1,-1.1066610058542146,7.788464232700058e-09,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1066610058542146,,,,,,7.788464232700058e-09,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
CBX3,ENSG00000122565,CBX3,CBX3,chromobox 3,dimgrey,dimgrey,MC100_vs_MC1,1,1,8.309487809171693e-09,1.0770858747489371,1.0770858747489371,MC100_vs_MC1,-1.0770858747489371,8.309487809171693e-09,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.0770858747489371,,,,,,8.309487809171693e-09,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TTYH3,ENSG00000136295,TTYH3,TTYH3,tweety family member 3,darkgrey,darkgrey,MC100_vs_MC1,1,1,1.13764528032525e-08,1.0004258543005808,1.0004258543005808,MC100_vs_MC1,-1.0004258543005808,1.13764528032525e-08,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0004258543005808,,,,,,1.13764528032525e-08,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
R3HDM4,ENSG00000198858,R3HDM4,R3HDM4,R3H domain containing 4,darkgrey,darkgrey,MC100_vs_MC1;MC1_vs_CTR,2,2,1.5413897597350933e-08,1.6499154024875988,1.384428791463493,MC100_vs_MC1,-1.6499154024875988,1.5413897597350933e-08,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.6499154024875988,1.118942180439387,,,,,1.5413897597350933e-08,0.0003332796314424,,,,,down_in_tested,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
RPS15A,ENSG00000134419,RPS15A,RPS15A,ribosomal protein S15a,dimgrey,dimgrey,MC100_vs_MC1,1,1,1.5992769405270956e-08,1.1005439542290745,1.1005439542290745,MC100_vs_MC1,1.1005439542290745,1.5992769405270956e-08,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.1005439542290745,,,,,,1.5992769405270956e-08,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
CKAP2L,ENSG00000169607,CKAP2L,CKAP2L,cytoskeleton associated protein 2L,dimgrey,dimgrey,MD1_vs_CTR,1,1,3.289448955727297e-08,1.0889094412398992,1.0889094412398992,MD1_vs_CTR,-1.0889094412398992,3.289448955727297e-08,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,,,-1.0889094412398992,,,,,,3.289448955727297e-08,,,,,,down_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
NEURL1B,ENSG00000214357,NEURL1B,NEURL1B,neuralized E3 ubiquitin protein ligase 1B,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,5.4000509990971473e-08,1.3135363499883117,1.1581946452197776,MA100_vs_CTR,1.3135363499883117,5.4000509990971473e-08,up_in_tested,3,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.3135363499883117,,,-1.1292665990039563,1.0620753977374608,1.1279002341493811,5.4000509990971473e-08,,,1.3077548635157135e-06,1.1688693734922764e-05,2.396127752821796e-06,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
TMEM134,ENSG00000172663,TMEM134,TMEM134,transmembrane protein 134,darkgrey,darkgrey,MC100_vs_MC1,1,1,5.405053771288594e-08,1.008632907175773,1.008632907175773,MC100_vs_MC1,-1.008632907175773,5.405053771288594e-08,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.008632907175773,,,,,,5.405053771288594e-08,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
HDAC7,ENSG00000061273,HDAC7,HDAC7,histone deacetylase 7,dimgrey,dimgrey,MC100_vs_MC1,1,1,5.92750757965781e-08,1.2258839027415491,1.2258839027415491,MC100_vs_MC1,-1.2258839027415491,5.92750757965781e-08,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,-1.2258839027415491,,,,,,5.92750757965781e-08,,,,,,down_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
SPCS1,ENSG00000114902,SPCS1,SPCS1,signal peptidase complex subunit 1,dimgrey,dimgrey,MC100_vs_MC1,1,1,5.979208687951276e-08,1.1017027917344175,1.1017027917344175,MC100_vs_MC1,1.1017027917344175,5.979208687951276e-08,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.1017027917344175,,,,,,5.979208687951276e-08,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
PIK3C2A,ENSG00000011405,PIK3C2A,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,darkgrey,darkgrey,MC100_vs_MC1,1,1,6.278305873062379e-08,1.0692523509275995,1.0692523509275995,MC100_vs_MC1,-1.0692523509275995,6.278305873062379e-08,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0692523509275995,,,,,,6.278305873062379e-08,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
MAGOH,ENSG00000162385,MAGOH,MAGOH,"mago homolog, exon junction complex subunit",darkgrey,darkgrey,MC100_vs_MC1,1,1,9.34463651352827e-08,1.352796296332317,1.352796296332317,MC100_vs_MC1,-1.352796296332317,9.34463651352827e-08,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.352796296332317,,,,,,9.34463651352827e-08,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
EML2,ENSG00000125746,EML2,EML2,EMAP like 2,dimgrey,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.5044729670032894e-07,1.9515912678453893,1.4905391036211828,MC100_vs_MC1,-1.9515912678453893,1.5044729670032894e-07,down_in_tested,3,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,1.4348834785541311,,,-1.9515912678453893,1.3104823467800168,1.2651993213051944,0.000337285448157,,,1.5044729670032894e-07,0.0009673821968881,0.0016872551113776,up_in_tested,,,down_in_tested,up_in_tested,up_in_tested,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
AHSA1,ENSG00000100591,AHSA1,AHSA1,activator of HSP90 ATPase activity 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,1.5044729670032894e-07,1.1152381278208408,1.1152381278208408,MC100_vs_MC1,-1.1152381278208408,1.5044729670032894e-07,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.1152381278208408,,,,,,1.5044729670032894e-07,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
ING3,ENSG00000071243,ING3,ING3,inhibitor of growth family member 3,gainsboro,gainsboro,MC100_vs_MC1,1,1,1.592017518213193e-07,1.1922453449714627,1.1922453449714627,MC100_vs_MC1,-1.1922453449714627,1.592017518213193e-07,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.2764543534617769,0.2250855359964076,0.5934073221723475,0.04092526690391459,,,,-1.1922453449714627,,,,,,1.592017518213193e-07,,,,,,down_in_tested,,,1124,46,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
FASTK,ENSG00000164896,FASTK,FASTK,Fas activated serine/threonine kinase,darkgrey,darkgrey,MC100_vs_MC1;MD1_vs_CTR,2,2,1.640851394750979e-07,1.228173635245043,1.1359429082224821,MC100_vs_MC1,-1.228173635245043,1.640851394750979e-07,down_in_tested,1,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.228173635245043,,1.0437121811999213,,,,1.640851394750979e-07,,2.0674451806365384e-05,,,,down_in_tested,,up_in_tested,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
UBN1,ENSG00000118900,UBN1,UBN1,ubinuclein 1,darkgrey,darkgrey,MC100_vs_MC1,1,1,1.7775729180517305e-07,1.0445228219395533,1.0445228219395533,MC100_vs_MC1,-1.0445228219395533,1.7775729180517305e-07,down_in_tested,0,1,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,-1.0445228219395533,,,,,,1.7775729180517305e-07,,,,,,down_in_tested,,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
ZNF48,ENSG00000180035,ZNF48,ZNF48,zinc finger protein 48,dimgrey,dimgrey,MA100_vs_CTR,1,1,1.9736594787315866e-07,1.7591975955062162,1.7591975955062162,MA100_vs_CTR,-1.7591975955062162,1.9736594787315866e-07,down_in_tested,0,1,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,-1.7591975955062162,,,,,,1.9736594787315866e-07,,,,,,down_in_tested,,,,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
RPL7,ENSG00000147604,RPL7,RPL7,ribosomal protein L7,dimgrey,dimgrey,MC100_vs_MC1,1,1,2.005975603521357e-07,1.1111802731455074,1.1111802731455074,MC100_vs_MC1,1.1111802731455074,2.005975603521357e-07,up_in_tested,1,0,deg_fraction,True,particle_size_um,-0.1867202754883606,0.4176932392721358,0.7331959097856707,0.07777491630182848,,,,1.1111802731455074,,,,,,2.005975603521357e-07,,,,,,up_in_tested,,,3883,302,6,MA100_vs_CTR;MA100_vs_MA1;MA1_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,False
BRD3,ENSG00000169925,BRD3,BRD3,bromodomain containing 3,darkgrey,darkgrey,MC1_vs_CTR,1,1,2.0546403511884043e-07,1.0111617707704632,1.0111617707704632,MC1_vs_CTR,1.0111617707704632,2.0546403511884043e-07,up_in_tested,1,0,module_trait;deg_fraction,True,particle_size_um,0.6222385633532055,0.0025949251469398,0.0591962437092721,0.06215554194733619,,,,,1.0111617707704632,,,,,,2.0546403511884043e-07,,,,,,up_in_tested,,3266,203,5,MA100_vs_CTR;MA100_vs_MA1;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,True,True
