,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_antiquewhite,0.884426110005147,0.9488208922130597,0.884426110005147,0.8761292901921136,0.7928605127428491,0.8019238311866586,0.9842877851280651,0.8841741125513545,0.977679180859118,0.7555577365829494
ME_bisque,0.8845814009155631,0.9488208922130597,0.8845814009155631,0.8761292901921136,0.5902432662747601,0.8595852992436048,0.9842877851280651,0.7359941724600368,0.977679180859118,0.7871194042919198
ME_blanchedalmond,0.884426110005147,0.4280994252325432,0.884426110005147,0.8761292901921136,0.44134366726452895,0.8369785438088228,0.9842877851280651,0.7359941724600368,0.977679180859118,0.7871194042919198
ME_brown,0.7139579133691017,0.7452605743682884,0.7139579133691017,0.8761292901921136,0.10058107382414931,0.9803777166764922,0.9842877851280651,0.7359941724600368,0.977679180859118,0.7871194042919198
ME_burlywood,0.884426110005147,0.9501072497234327,0.884426110005147,0.8761292901921136,0.767156921072022,0.8107706625633152,0.9842877851280651,0.2561887897157681,0.977679180859118,0.8748924943048955
ME_chocolate,0.992602352712517,0.7452605743682884,0.992602352712517,0.8761292901921136,0.5053901384778275,0.6357490358075737,0.9842877851280651,0.7535497318856906,0.977679180859118,0.9524105079263562
ME_coral,0.8641157742761592,0.7452605743682884,0.8641157742761592,0.8761292901921136,0.10058107382414931,0.8107706625633152,0.9842877851280651,0.7359941724600368,0.977679180859118,0.6610344901005486
ME_darkgrey,0.061992991944212324,0.7532171816286813,0.061992991944212324,0.912404016763611,0.767156921072022,0.6357490358075737,0.9842877851280651,0.6700228235629153,0.00800496643945227,0.6993670331621159
ME_darkorange,0.8845814009155631,0.9488208922130597,0.8845814009155631,0.8761292901921136,0.7928605127428491,0.8107706625633152,0.9842877851280651,0.8776285286508538,0.9878593822603771,0.9463635924706304
ME_darkred,0.0627093224067831,0.7452605743682884,0.06270932240678338,0.8761292901921136,0.10058107382414931,0.023994839861310326,0.9842877851280651,0.7359941724600368,0.977679180859118,0.5510744007773213
ME_darksalmon,0.884426110005147,0.9359684493322951,0.884426110005147,0.8761292901921136,0.767156921072022,0.8369785438088228,0.9842877851280651,0.7535497318856906,0.977679180859118,0.7871194042919198
ME_dimgrey,0.8641157742761592,0.7452605743682884,0.8641157742761592,0.8761292901921136,0.10058107382414931,0.8369785438088228,0.9842877851280651,0.2561887897157681,0.245853507061666,0.7871194042919198
