module,corr_particle_size_um,pval_particle_size_um,padj_particle_size_um,significant_particle_size_um_padj005,significant_particle_size_um_padj010,corr_concentration_gL,pval_concentration_gL,padj_concentration_gL,significant_concentration_gL_padj005,significant_concentration_gL_padj010,corr_is_100nm,pval_is_100nm,padj_is_100nm,significant_is_100nm_padj005,significant_is_100nm_padj010
ME_antiquewhite,-0.11040704432350455,0.6337688839069909,0.884426110005147,False,False,-0.045724287363708926,0.843978697512299,0.9488208922130597,False,False,0.11040704432350454,0.6337688839069909,0.884426110005147,False,False
ME_bisque,0.05908970992536618,0.7991679363322498,0.8845814009155631,False,False,0.04102012081062975,0.8598689335680854,0.9488208922130597,False,False,-0.05908970992536619,0.7991679363322498,0.8845814009155631,False,False
ME_blanchedalmond,0.11866721714094518,0.6084275884916127,0.884426110005147,False,False,0.5304098386849596,0.013378107038516975,0.4280994252325432,False,False,-0.11866721714094516,0.6084275884916127,0.884426110005147,False,False
ME_brown,0.3208365759825196,0.156178293549491,0.7139579133691017,False,False,-0.2647965058523036,0.24604891026170897,0.7452605743682884,False,False,-0.3208365759825196,0.156178293549491,0.7139579133691017,False,False
ME_burlywood,-0.12779548149721154,0.5809179908175598,0.884426110005147,False,False,0.02865167354410366,0.9018826895853062,0.9501072497234327,False,False,0.1277954814972115,0.5809179908175598,0.884426110005147,False,False
ME_chocolate,-0.002155233088624836,0.992602352712517,0.992602352712517,False,False,-0.34183215040782966,0.12935083895046845,0.7452605743682884,False,False,0.0021552330886248153,0.992602352712517,0.992602352712517,False,False
ME_coral,0.22916311453617522,0.3176818567030042,0.8641157742761592,False,False,-0.31787249827876973,0.16025582929661092,0.7452605743682884,False,False,-0.22916311453617522,0.3176818567030042,0.8641157742761592,False,False
ME_darkgrey,0.630281826465718,0.0021938033519839986,0.061992991944212324,False,True,0.21664085388065962,0.345552705781948,0.7532171816286813,False,False,-0.630281826465718,0.0021938033519839986,0.061992991944212324,False,True
ME_darkorange,-0.06078707876164541,0.7935173377238942,0.8845814009155631,False,False,0.04802828323889209,0.8362168586551851,0.9488208922130597,False,False,0.06078707876164538,0.7935173377238942,0.8845814009155631,False,False
ME_darkred,-0.5632905950186033,0.007838665300847888,0.0627093224067831,False,True,0.2808682601061733,0.21746412584450417,0.7452605743682884,False,False,0.5632905950186032,0.007838665300847923,0.06270932240678338,False,True
ME_darksalmon,-0.10093511538398059,0.6633195825038603,0.884426110005147,False,False,0.11676411391235675,0.6142292948743187,0.9359684493322951,False,False,0.10093511538398056,0.6633195825038603,0.884426110005147,False,False
ME_dimgrey,-0.1870299420325427,0.41690749952214884,0.8641157742761592,False,False,-0.2593901733553228,0.25618332243909914,0.7452605743682884,False,False,0.1870299420325427,0.41690749952214884,0.8641157742761592,False,False
ME_firebrick,-0.15116142898935822,0.5130687409764695,0.8641157742761592,False,False,0.23971630507749106,0.29527901341545726,0.7532171816286813,False,False,0.1511614289893582,0.5130687409764695,0.8641157742761592,False,False
ME_gainsboro,-0.26365314001976237,0.24817034970767127,0.8641157742761592,False,False,0.4260005568986376,0.054161939844845,0.7452605743682884,False,False,0.26365314001976237,0.24817034970767127,0.8641157742761592,False,False
ME_lightcoral,-0.1891173414511309,0.4116319216873513,0.8641157742761592,False,False,0.14289393438893397,0.5366349513066043,0.9248779783818861,False,False,0.18911734145113088,0.4116319216873513,0.8641157742761592,False,False
ME_linen,-0.5803573565192539,0.0058118429947699056,0.061992991944212324,False,True,0.3408413950214696,0.13053737921577827,0.7452605743682884,False,False,0.5803573565192539,0.0058118429947699056,0.061992991944212324,False,True
