sample_id,ME_antiquewhite,ME_bisque,ME_blanchedalmond,ME_brown,ME_burlywood,ME_chocolate,ME_coral,ME_darkgrey,ME_darkorange,ME_darkred,ME_darksalmon,ME_dimgrey,ME_firebrick,ME_gainsboro,ME_lightcoral,ME_linen,ME_maroon,ME_moccasin,ME_navajowhite,ME_orange,ME_orangered,ME_papayawhip,ME_peachpuff,ME_peru,ME_red,ME_saddlebrown,ME_sandybrown,ME_seashell,ME_sienna,ME_silver,ME_tan,ME_white
CTR_1,1.2212352016204513,1.18402853893359,-0.5053167782870585,1.2206781425851327,0.9992882166560917,1.9165912067714599,0.7287344613844005,-10.318898536427492,-1.0464362606347721,1.1376586091590206,0.567685959643171,14.224429038900185,0.5929877166572651,-3.0011247752352226,-0.22006851016170864,1.1174127146235457,-0.2543825153015533,-0.2622112765262088,-1.5351317968444167,1.69711188270908,1.8925605311440283,-1.1353698415106377,0.3100902207275822,-0.013152465632844246,-0.1407824240234804,-0.7450049602441473,1.1148038662179232,1.8543209637583353,0.5420038635748702,13.92531236638457,0.06928342466588773,-0.40075136184003496
CTR_2,3.7574274826103866,1.2626124823797265,-1.4699146182786353,0.9749989873032164,-0.6367616719101681,3.612219465596779,-3.2500096789409842,-16.06512748015206,1.7613627893160988,1.8669645703670206,1.0773597641380253,18.949394336842772,-0.7523163730621444,-8.922850399248608,-1.3065891965518028,0.21186523901714932,0.8359719714149635,-4.2679869507096555,-4.083448526373175,-3.004751784954079,-1.4824765264967725,0.732512594329561,-1.4116493386532942,4.281665071776387,3.106564766654922,1.8508180204269615,0.6227860719521127,-0.5520374654749027,2.5879966733447137,3.028996029274825,-3.757274376844195,-11.798659795033261
CTR_3,-2.6794449611309457,-6.39580181946429,1.077577674176674,0.5433510627331196,-3.5638050555611445,-7.40681720177737,-1.4996885691722153,-18.430496259890635,1.4946086135461236,0.721161908572373,-2.025746786163292,13.437362016039458,0.5242201751701199,-18.17843700078737,1.0686660137830404,0.199139324438496,0.27208171592745267,-1.215886926539322,1.2228900678996508,-2.276956527216698,0.11108165946569538,0.4852448095597034,0.7793445801302386,-1.2142002825558205,-0.6427544150445443,0.8914941684914481,1.8155289686218998,1.0305390465979722,1.2595339198478062,13.121089534413727,0.3037689046748429,-7.42364145784051
MA1_1,-0.8778896951806255,2.3270733489068305,1.7607941147737263,0.5917442886714499,2.543266679326768,-2.4197431695548937,-0.23174407072852754,0.49753146646907387,3.115813072331716,0.4304840764063982,1.1704353146355833,13.755633431025595,-1.2133065542459147,-5.455243917229388,0.05298042771169717,1.397822007556423,2.1122617247705215,0.3876622227809122,-1.0247020417218249,2.464801816835138,-2.5739640306980758,-2.073833402433539,4.002720650508931,2.9280661338622496,1.3990913384201134,0.9604668836572756,0.5456997709332032,4.697996133068269,2.1919882186345476,1.6618649262282925,1.639239602649401,1.280734186065109
MA1_2,-2.6753750950113004,1.3656019182159365,0.7178633690345037,1.4657670918515167,2.01788476208866,0.5683062955984491,-2.322538944048796,2.5791787253688057,-1.5385178464551945,-0.19985080430094268,-2.5719458610327846,9.520923320434983,1.5486309436296828,1.3908511434344137,-1.7530613263693613,-1.9416301164639511,0.8809925275803945,2.0781742786864354,2.16796287293826,0.9764564886896434,-2.1372727701191927,-2.7292054442762637,-7.810588107271895,-6.095901170604006,1.5419812024339528,2.0159885707394127,2.2120553063141175,-4.703556541570684,1.5498735986375705,-2.7798133366365274,1.3870425586890736,-0.2908382281445915
MA1_3,-0.5628206799904358,0.2843887453963684,1.9215028621659946,3.4024040255907266,-1.106854545242183,-0.289999903952927,1.2245015789453984,-1.1749534585406813,0.34400700533689654,1.125129903494525,2.6430757087560997,0.6091206065681818,3.1869049628661466,9.730953241841501,2.7997038422224216,0.11886505740093213,4.334306891317248,1.815634684356394,0.8562942025847396,0.5940822119251045,-1.151897335807451,0.7010702367792969,2.0056575999576904,0.9646024473677045,-0.13091093572617618,0.5362396944545431,0.7093912784288308,1.921163911506257,1.24729394579399,15.905508240884982,1.1671520644315414,7.919318282226142
MB1_1,1.5698241390334988,-2.6733410138209255,0.9078181046734706,2.2059366998871,2.23492244713746,0.740717864412134,-0.0703797532862551,15.677543002991854,-1.7226515868876844,-5.157010296305601,-1.417213604690304,-6.367771099790516,1.7518117559288162,-5.522491145420987,-0.06478659983659255,-2.5001884376177186,-0.5195484997312461,0.24733467575002255,1.838508411130847,-0.4723983967361055,2.4506466978898493,1.4664225354744038,0.1096571141223993,2.4087111536194783,-2.807665068221459,-0.9764104144098817,2.091486915048974,0.19712044537156256,1.8181879663865177,-1.3434518230115458,1.6067648650219821,1.8396500772170954
MB1_2,-2.60612503125928,-1.9119837950687861,1.9218587378498337,-1.5996081850818293,2.0087066373659583,0.4753283739021103,-2.1878754102419173,2.2070722480436546,1.2311392006181618,-5.037547682494941,-0.25485914592638437,16.70317323298521,-1.6917338426399489,-21.31730216984151,-0.3137816218054456,-3.100223519790446,2.2659168431921115,-0.22940557354862712,2.2243536065929477,0.9102333045957781,-2.615597483835173,-1.4892905093325317,2.6842564668588103,0.9969319630821146,-4.233908538111697,0.6255479109148413,2.4885616213554504,-5.125086413978082,0.5990290157222765,-10.274093756237699,1.1787147229921442,0.6285133990429438
MB1_3,-2.6478554372276935,3.663145711008891,-4.436550240324192,-1.2794268986068251,-0.7930383250552865,2.6010473128338063,-1.9300219796271876,13.536299392436074,-3.1083207590066877,-2.252979965286036,3.5289054129479864,1.8945607665470707,1.707727396490328,-7.796519456687826,6.376562849615678,-3.1001994815153218,-49.23045988589423,-4.895283481637622,1.7428711354187243,-1.8059751340327879,-1.7967847206207346,0.5584114122090553,-3.7660530304851263,3.3434235634879066,2.5987286317225378,2.732532716859528,-6.609625732703224,-4.321244735431934,-7.942309813724404,-47.34607795498462,-0.8201272097631432,-1.831813625903468
MC1_1,-0.3941584708629997,-1.1124726620209304,-4.234177778594052,4.209547098441518,0.05910714013085613,1.4405379592732432,3.5917066714530916,9.030883931479478,2.2277281331191237,1.9981474534130803,1.8508093562993122,-12.18397926989379,2.7430962424928595,2.38581411210769,3.710419030744843,-1.9021537648350442,3.7516915166525444,-5.017064550321756,2.189899610258563,-2.397433157019747,0.49527855182443153,-1.6535801041136653,3.6264586996584716,-4.435022174296411,1.1622765277056195,0.528192190445574,2.450056359801492,2.6779261547772113,-7.381649456676222,-11.855242090828527,1.6236592997585593,-2.365344958129165
MC1_2,-1.963567828936065,1.8253775659232623,0.6071492812189463,1.9807407915276354,-3.5011109477231424,-2.623503798178396,0.32579409396281495,11.76846928366918,-3.2069053822014326,0.984463939185554,-1.8283580931753551,-30.0645080100565,-28.023348554777375,5.222061910093756,1.5713333108711482,1.3698239660421976,3.0727275594877703,0.012012982797817894,0.09527363907371533,0.07509405150983918,0.6998275656630836,0.19997884993971243,1.2008249647298395,-3.700575114005408,-0.24503908960723964,1.3333625233196045,3.213113718923428,-2.9300915232523517,3.2227041857646364,-9.684232868956752,0.3228208018732301,2.484959093146938
