gene_id,dynamic_module,module,module_label
ENSG00000122417,gainsboro,gainsboro,13
ENSG00000122420,darkgrey,darkgrey,7
ENSG00000122432,maroon,maroon,16
ENSG00000122435,gainsboro,gainsboro,13
ENSG00000122481,dimgrey,dimgrey,11
ENSG00000122482,orangered,orangered,20
ENSG00000122483,darkgrey,darkgrey,7
ENSG00000122484,darkgrey,darkgrey,7
ENSG00000122490,darkgrey,darkgrey,7
ENSG00000122507,dimgrey,dimgrey,11
ENSG00000122512,white,white,31
ENSG00000122515,darkgrey,darkgrey,7
ENSG00000122545,dimgrey,dimgrey,11
ENSG00000122547,silver,silver,29
ENSG00000122550,dimgrey,dimgrey,11
ENSG00000122557,darkgrey,darkgrey,7
ENSG00000122565,dimgrey,dimgrey,11
ENSG00000122566,dimgrey,dimgrey,11
ENSG00000122574,dimgrey,dimgrey,11
ENSG00000122591,white,white,31
ENSG00000122641,darkgrey,darkgrey,7
ENSG00000122642,seashell,seashell,27
ENSG00000122643,darkgrey,darkgrey,7
ENSG00000122644,dimgrey,dimgrey,11
ENSG00000122674,gainsboro,gainsboro,13
ENSG00000122678,sienna,sienna,28
ENSG00000122691,firebrick,firebrick,12
ENSG00000122692,dimgrey,dimgrey,11
ENSG00000122694,darkgrey,darkgrey,7
ENSG00000122696,dimgrey,dimgrey,11
ENSG00000122705,maroon,maroon,16
ENSG00000122707,silver,silver,29
ENSG00000122729,darkgrey,darkgrey,7
ENSG00000122741,darkgrey,darkgrey,7
ENSG00000122778,dimgrey,dimgrey,11
ENSG00000122779,silver,silver,29
ENSG00000122783,dimgrey,dimgrey,11
ENSG00000122786,gainsboro,gainsboro,13
ENSG00000122824,darkgrey,darkgrey,7
ENSG00000122861,dimgrey,dimgrey,11
ENSG00000122862,silver,silver,29
ENSG00000122863,silver,silver,29
ENSG00000122870,gainsboro,gainsboro,13
ENSG00000122873,dimgrey,dimgrey,11
ENSG00000122882,darkgrey,darkgrey,7
ENSG00000122884,gainsboro,gainsboro,13
ENSG00000122912,dimgrey,dimgrey,11
ENSG00000122952,white,white,31
ENSG00000122958,dimgrey,dimgrey,11
ENSG00000122965,darkgrey,darkgrey,7
ENSG00000122966,silver,silver,29
ENSG00000122970,silver,silver,29
ENSG00000122971,darkgrey,darkgrey,7
ENSG00000122986,dimgrey,dimgrey,11
ENSG00000123064,darkgrey,darkgrey,7
ENSG00000123066,dimgrey,dimgrey,11
ENSG00000123080,dimgrey,dimgrey,11
ENSG00000123091,silver,silver,29
ENSG00000123094,silver,silver,29
ENSG00000123095,silver,silver,29
ENSG00000123096,maroon,maroon,16
ENSG00000123104,gainsboro,gainsboro,13
ENSG00000123106,gainsboro,gainsboro,13
ENSG00000123119,silver,silver,29
ENSG00000123124,darkgrey,darkgrey,7
ENSG00000123130,darkgrey,darkgrey,7
ENSG00000123131,silver,silver,29
ENSG00000123136,dimgrey,dimgrey,11
ENSG00000123143,white,white,31
ENSG00000123144,silver,silver,29
ENSG00000123146,silver,silver,29
ENSG00000123159,darkgrey,darkgrey,7
ENSG00000123178,darkgrey,darkgrey,7
ENSG00000123179,darkred,darkred,9
ENSG00000123191,silver,silver,29
ENSG00000123200,gainsboro,gainsboro,13
ENSG00000123213,silver,silver,29
ENSG00000123219,dimgrey,dimgrey,11
ENSG00000123240,dimgrey,dimgrey,11
ENSG00000123268,silver,silver,29
ENSG00000123342,dimgrey,dimgrey,11
ENSG00000123352,silver,silver,29
ENSG00000123353,gainsboro,gainsboro,13
ENSG00000123358,silver,silver,29
ENSG00000123374,darkgrey,darkgrey,7
ENSG00000123384,darkgrey,darkgrey,7
ENSG00000123411,gainsboro,gainsboro,13
ENSG00000123415,dimgrey,dimgrey,11
ENSG00000123416,gainsboro,gainsboro,13
ENSG00000123427,dimgrey,dimgrey,11
ENSG00000123453,dimgrey,dimgrey,11
ENSG00000123472,dimgrey,dimgrey,11
