Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,module,gene_set
gs_ind_0,Signaling pathways regulating pluripotency of stem cells,1/98,0.5665982586575737,0.6806748976103477,1.7971482176360225,1.02096846568716,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Small cell lung cancer,1/80,0.4944017575905979,0.6702445831541919,2.2073630924988494,1.5548816118218178,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Spinocerebellar ataxia,1/115,0.6253711673450748,0.6855920945708969,1.5281499627223347,0.7173287788944582,RB1CC1,ME_darkred,KEGG_2021_Human
gs_ind_0,TNF signaling pathway,2/91,0.1797861618482816,0.634558366183696,3.2973277926080855,5.658172035864183,FAS;CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Thermogenesis,2/186,0.46878918366346484,0.6657383319115634,1.5868343412498165,1.2021890505080388,FRS2;NDUFA7,ME_darkred,KEGG_2021_Human
gs_ind_0,Thyroid hormone signaling pathway,1/96,0.5591096571497464,0.6806748976103477,1.835091303792619,1.0669398081237258,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Thyroid hormone synthesis,1/44,0.31240008476715353,0.6365206377729156,4.046257359125315,4.707701435598024,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,Tight junction,1/118,0.6348904684843331,0.6858670754429291,1.488759730150493,0.6763476924123719,ARPC5,ME_darkred,KEGG_2021_Human
gs_ind_0,Toxoplasmosis,1/79,0.49005878211164156,0.6702445831541919,2.2356687898089174,1.5945458979895317,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Tryptophan metabolism,1/28,0.2119479745127297,0.634558366183696,6.408957871396896,9.942949772092838,HADHA,ME_darkred,KEGG_2021_Human
gs_ind_0,Tuberculosis,2/109,0.23541266155585724,0.634558366183696,2.741092908695154,3.964758716908834,EEA1;CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Type I diabetes mellitus,1/15,0.11973643084488943,0.6328925630372727,12.168040370058874,25.826207698315063,FAS,ME_darkred,KEGG_2021_Human
gs_ind_0,Type II diabetes mellitus,1/28,0.2119479745127297,0.634558366183696,6.408957871396896,9.942949772092838,SOCS2,ME_darkred,KEGG_2021_Human
gs_ind_0,"Valine, leucine and isoleucine degradation",1/43,0.3065114349568113,0.6365206377729156,4.141807747489239,4.897688556545834,HADHA,ME_darkred,KEGG_2021_Human
gs_ind_0,Vasopressin-regulated water reabsorption,1/37,0.2701160612808976,0.634558366183696,4.82505846976278,6.315536187772826,RAB11A,ME_darkred,KEGG_2021_Human
gs_ind_0,Viral carcinogenesis,2/152,0.36930563929305743,0.6452745267473494,1.9508862085331327,1.9433376192000722,YWHAE;CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Viral myocarditis,1/37,0.2701160612808976,0.634558366183696,4.82505846976278,6.315536187772826,CASP3,ME_darkred,KEGG_2021_Human
gs_ind_0,Viral protein interaction with cytokine and cytokine receptor,1/27,0.20520801282335077,0.634558366183696,6.651357570179475,10.533961958185346,TNFSF10,ME_darkred,KEGG_2021_Human
gs_ind_0,Wnt signaling pathway,1/118,0.6348904684843331,0.6858670754429291,1.488759730150493,0.6763476924123719,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,Yersinia infection,1/114,0.6221437694056748,0.6855920945708969,1.5417427742559364,0.7316865644431639,ARPC5,ME_darkred,KEGG_2021_Human
gs_ind_0,beta-Alanine metabolism,2/20,0.012198322582933858,0.5053498451745193,16.04646518439622,70.7080561075052,HADHA;CNDP2,ME_darkred,KEGG_2021_Human
gs_ind_0,cAMP signaling pathway,1/126,0.6591200698917908,0.6967840738856075,1.392925857545428,0.5806405321352872,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,cGMP-PKG signaling pathway,1/110,0.6089565271615693,0.6813513325705155,1.5985967256932843,0.7929174006256201,ATP1B1,ME_darkred,KEGG_2021_Human
gs_ind_0,mRNA surveillance pathway,1/83,0.5072121169815507,0.6702445831541919,2.1265631929046562,1.4435663566329553,SRRM1,ME_darkred,KEGG_2021_Human
gs_ind_0,mTOR signaling pathway,1/126,0.6591200698917908,0.6967840738856075,1.392925857545428,0.5806405321352872,FZD6,ME_darkred,KEGG_2021_Human
gs_ind_0,p53 signaling pathway,2/67,0.11014037108108515,0.6328925630372727,4.51453389989847,9.959060094637005,FAS;CASP3,ME_darkred,KEGG_2021_Human
