gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000147099,HDAC8,histone deacetylase 8,False,HDAC8
ENSG00000147100,SLC16A2,solute carrier family 16 member 2,False,SLC16A2
ENSG00000147118,ZNF182,zinc finger protein 182,False,ZNF182
ENSG00000147119,CHST7,carbohydrate sulfotransferase 7,False,CHST7
ENSG00000147121,KRABD4,KRAB domain containing 4,False,KRABD4
ENSG00000147123,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11,False,NDUFB11
ENSG00000147124,ZNF41,zinc finger protein 41,False,ZNF41
ENSG00000147130,ZMYM3,zinc finger MYM-type containing 3,False,ZMYM3
ENSG00000147133,TAF1,TATA-box binding protein associated factor 1,False,TAF1
ENSG00000147140,NONO,non-POU domain containing octamer binding,False,NONO
ENSG00000147145,LPAR4,lysophosphatidic acid receptor 4,False,LPAR4
ENSG00000147155,EBP,EBP cholestenol delta-isomerase,False,EBP
ENSG00000147162,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,False,OGT
ENSG00000147164,SNX12,sorting nexin 12,False,SNX12
ENSG00000147166,ITGB1BP2,integrin subunit beta 1 binding protein 2,False,ITGB1BP2
ENSG00000147174,GCNA,germ cell nuclear acidic peptidase,False,GCNA
ENSG00000147180,ZNF711,ZFX family zinc finger ZNF711,False,ZNF711
ENSG00000147202,DIAPH2,diaphanous related formin 2,False,DIAPH2
ENSG00000147224,PRPS1,phosphoribosyl pyrophosphate synthetase 1,False,PRPS1
ENSG00000147231,RADX,"RPA1 related single stranded DNA binding protein, X-linked",False,RADX
ENSG00000147251,DOCK11,dedicator of cytokinesis 11,False,DOCK11
ENSG00000147274,RBMX,RNA binding motif protein X-linked,False,RBMX
ENSG00000147316,MCPH1,microcephalin 1,False,MCPH1
ENSG00000147364,FBXO25,F-box protein 25,False,FBXO25
ENSG00000147383,NSDHL,NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL,False,NSDHL
ENSG00000147400,CETN2,centrin 2,False,CETN2
ENSG00000147403,RPL10,ribosomal protein L10,False,RPL10
ENSG00000147408,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,False,CSGALNACT1
ENSG00000147416,ATP6V1B2,ATPase H+ transporting V1 subunit B2,False,ATP6V1B2
ENSG00000147419,CCDC25,coiled-coil domain containing 25,False,CCDC25
ENSG00000147421,HMBOX1,homeobox containing 1,False,HMBOX1
ENSG00000147437,GNRH1,gonadotropin releasing hormone 1,False,GNRH1
ENSG00000147439,BIN3,bridging integrator 3,False,BIN3
ENSG00000147454,SLC25A37,solute carrier family 25 member 37,False,SLC25A37
ENSG00000147457,CHMP7,charged multivesicular body protein 7,False,CHMP7
ENSG00000147459,DOCK5,dedicator of cytokinesis 5,False,DOCK5
ENSG00000147465,STAR,steroidogenic acute regulatory protein,False,STAR
ENSG00000147471,PLPBP,pyridoxal phosphate binding protein,False,PLPBP
ENSG00000147475,ERLIN2,ER lipid raft associated 2,False,ERLIN2
ENSG00000147488,ST18,ST18 C2H2C-type zinc finger transcription factor,False,ST18
ENSG00000147509,RGS20,regulator of G protein signaling 20,False,RGS20
ENSG00000147526,TACC1,transforming acidic coiled-coil containing protein 1,False,TACC1
ENSG00000147533,GOLGA7,golgin A7,False,GOLGA7
ENSG00000147535,PLPP5,phospholipid phosphatase 5,False,PLPP5
ENSG00000147536,GINS4,GINS complex subunit 4,False,GINS4
ENSG00000147548,NSD3,nuclear receptor binding SET domain protein 3,False,NSD3
ENSG00000147571,CRH,corticotropin releasing hormone,False,CRH
ENSG00000147573,TRIM55,tripartite motif containing 55,False,TRIM55
