gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000164054,SHISA5,SHISA5,shisa family member 5,darkgrey,darkgrey,1
ENSG00000164056,SPRY1,SPRY1,sprouty RTK signaling antagonist 1,darkgrey,darkgrey,1
ENSG00000164062,APEH,APEH,acylaminoacyl-peptide hydrolase,darkgrey,darkgrey,1
ENSG00000164066,INTU,INTU,inturned planar cell polarity protein,darkgrey,darkgrey,1
ENSG00000164070,HSPA4L,HSPA4L,heat shock protein family A (Hsp70) member 4 like,snow,snow,12
ENSG00000164073,MFSD8,MFSD8,major facilitator superfamily domain containing 8,darkgrey,darkgrey,1
ENSG00000164074,ABHD18,ABHD18,abhydrolase domain containing 18,darkgrey,darkgrey,1
ENSG00000164077,MON1A,MON1A,MON1 vesicular trafficking associated A,dimgrey,dimgrey,4
ENSG00000164080,RAD54L2,RAD54L2,RAD54 like 2,darkgrey,darkgrey,1
ENSG00000164081,TEX264,TEX264,"testis expressed 264, ER-phagy receptor",dimgrey,dimgrey,4
ENSG00000164086,DUSP7,DUSP7,dual specificity phosphatase 7,darkgrey,darkgrey,1
ENSG00000164087,POC1A,POC1A,POC1 centriolar protein A,darkgrey,darkgrey,1
ENSG00000164088,PPM1M,PPM1M,"protein phosphatase, Mg2+/Mn2+ dependent 1M",dimgrey,dimgrey,4
ENSG00000164091,WDR82,WDR82,WD repeat domain 82,darkgrey,darkgrey,1
ENSG00000164093,PITX2,PITX2,paired like homeodomain 2,dimgrey,dimgrey,4
ENSG00000164096,ARLN,ARLN,allregulin,dimgrey,dimgrey,4
ENSG00000164099,PRSS12,PRSS12,serine protease 12,darkgrey,darkgrey,1
ENSG00000164104,HMGB2,HMGB2,high mobility group box 2,darkgrey,darkgrey,1
ENSG00000164105,SAP30,SAP30,Sin3A associated protein 30,darkgrey,darkgrey,1
ENSG00000164109,MAD2L1,MAD2L1,mitotic arrest deficient 2 like 1,dimgrey,dimgrey,4
ENSG00000164111,ANXA5,ANXA5,annexin A5,dimgrey,dimgrey,4
ENSG00000164112,SMIM43,SMIM43,small integral membrane protein 43,dimgrey,dimgrey,4
ENSG00000164114,MAP9,MAP9,microtubule associated protein 9,brown,brown,0
ENSG00000164117,FBXO8,FBXO8,F-box protein 8,indianred,indianred,6
ENSG00000164118,CEP44,CEP44,centrosomal protein 44,dimgrey,dimgrey,4
ENSG00000164122,ASB5,ASB5,ankyrin repeat and SOCS box containing 5,dimgrey,dimgrey,4
ENSG00000164124,TMEM144,TMEM144,transmembrane protein 144,brown,brown,0
ENSG00000164125,GASK1B,GASK1B,golgi associated kinase 1B,darkgrey,darkgrey,1
ENSG00000164134,NAA15,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",lightgrey,lightgrey,8
ENSG00000164136,IL15,IL15,interleukin 15,lightcoral,lightcoral,7
ENSG00000164142,FHIP1A,FHIP1A,FHF complex subunit HOOK interacting protein 1A,maroon,maroon,9
ENSG00000164144,ARFIP1,ARFIP1,ARF interacting protein 1,dimgrey,dimgrey,4
ENSG00000164151,ICE1,ICE1,interactor of little elongation complex ELL subunit 1,darkgrey,darkgrey,1
ENSG00000164161,HHIP,HHIP,hedgehog interacting protein,darkgrey,darkgrey,1
ENSG00000164162,ANAPC10,ANAPC10,anaphase promoting complex subunit 10,dimgrey,dimgrey,4
ENSG00000164163,ABCE1,ABCE1,ATP binding cassette subfamily E member 1,lightcoral,lightcoral,7
ENSG00000164164,OTUD4,OTUD4,OTU deubiquitinase 4,lightgrey,lightgrey,8
ENSG00000164167,LSM6,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",dimgrey,dimgrey,4
ENSG00000164168,TMEM184C,TMEM184C,transmembrane protein 184C,dimgrey,dimgrey,4
ENSG00000164169,PRMT9,PRMT9,protein arginine methyltransferase 9,dimgrey,dimgrey,4
ENSG00000164171,ITGA2,ITGA2,integrin subunit alpha 2,darkgrey,darkgrey,1
ENSG00000164172,MOCS2,MOCS2,molybdenum cofactor synthesis 2,brown,brown,0
ENSG00000164176,EDIL3,EDIL3,EGF like and discoidin domains 3,dimgrey,dimgrey,4
ENSG00000164180,TMEM161B,TMEM161B,transmembrane protein 161B,darkgrey,darkgrey,1
ENSG00000164182,NDUFAF2,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,lightgrey,lightgrey,8
ENSG00000164187,LMBRD2,LMBRD2,LMBR1 domain containing 2,darkgrey,darkgrey,1
ENSG00000164190,NIPBL,NIPBL,NIPBL cohesin loading factor,dimgrey,dimgrey,4
ENSG00000164197,RNF180,RNF180,ring finger protein 180,darkgrey,darkgrey,1
ENSG00000164209,SLC25A46,SLC25A46,solute carrier family 25 member 46,dimgrey,dimgrey,4
ENSG00000164211,STARD4,STARD4,StAR related lipid transfer domain containing 4,brown,brown,0
ENSG00000164219,PGGT1B,PGGT1B,protein geranylgeranyltransferase type I subunit beta,dimgrey,dimgrey,4
ENSG00000164220,F2RL2,F2RL2,coagulation factor II thrombin receptor like 2,dimgrey,dimgrey,4
ENSG00000164221,CCDC112,CCDC112,coiled-coil domain containing 112,darkred,darkred,2
ENSG00000164236,ANKRD33B,ANKRD33B,ankyrin repeat domain 33B,darkgrey,darkgrey,1
ENSG00000164237,CMBL,CMBL,carboxymethylenebutenolidase homolog,dimgrey,dimgrey,4
ENSG00000164241,C5orf63,C5orf63,chromosome 5 open reading frame 63,whitesmoke,whitesmoke,13
ENSG00000164244,PRRC1,PRRC1,proline rich coiled-coil 1,darkgrey,darkgrey,1
ENSG00000164251,F2RL1,F2RL1,F2R like trypsin receptor 1,lightgrey,lightgrey,8
ENSG00000164252,AGGF1,AGGF1,angiogenic factor with G-patch and FHA domains 1,dimgrey,dimgrey,4
ENSG00000164253,WDR41,WDR41,WD repeat domain 41,dimgrey,dimgrey,4
ENSG00000164258,NDUFS4,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,dimgrey,dimgrey,4
ENSG00000164283,ESM1,ESM1,endothelial cell specific molecule 1,darkgrey,darkgrey,1
ENSG00000164284,GRPEL2,GRPEL2,"GrpE like 2, mitochondrial",dimgrey,dimgrey,4
ENSG00000164291,ARSK,ARSK,arylsulfatase family member K,darkgrey,darkgrey,1
ENSG00000164292,RHOBTB3,RHOBTB3,Rho related BTB domain containing 3,darkgrey,darkgrey,1
ENSG00000164294,GPX8,GPX8,glutathione peroxidase 8 (putative),lightgrey,lightgrey,8
ENSG00000164296,TIGD6,TIGD6,tigger transposable element derived 6,dimgrey,dimgrey,4
ENSG00000164300,SERINC5,SERINC5,serine incorporator 5,darkgrey,darkgrey,1
ENSG00000164305,CASP3,CASP3,caspase 3,lightcoral,lightcoral,7
ENSG00000164306,PRIMPOL,PRIMPOL,primase and DNA directed polymerase,indianred,indianred,6
ENSG00000164307,ERAP1,ERAP1,endoplasmic reticulum aminopeptidase 1,firebrick,firebrick,5
ENSG00000164308,ERAP2,ERAP2,endoplasmic reticulum aminopeptidase 2,dimgrey,dimgrey,4
ENSG00000164309,CMYA5,CMYA5,cardiomyopathy associated 5,brown,brown,0
