gene_id,gene_symbol,gene_label,gene_name,dynamic_module,module,module_label
ENSG00000000003,TSPAN6,TSPAN6,tetraspanin 6,dimgrey,dimgrey,4
ENSG00000000419,DPM1,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",dimgrey,dimgrey,4
ENSG00000000457,SCYL3,SCYL3,SCY1 like pseudokinase 3,dimgrey,dimgrey,4
ENSG00000000460,FIRRM,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,dimgrey,dimgrey,4
ENSG00000001036,FUCA2,FUCA2,alpha-L-fucosidase 2,dimgrey,dimgrey,4
ENSG00000001084,GCLC,GCLC,glutamate-cysteine ligase catalytic subunit,dimgrey,dimgrey,4
ENSG00000001167,NFYA,NFYA,nuclear transcription factor Y subunit alpha,darkgrey,darkgrey,1
ENSG00000001460,STPG1,STPG1,sperm tail PG-rich repeat containing 1,dimgrey,dimgrey,4
ENSG00000001461,NIPAL3,NIPAL3,NIPA like domain containing 3,dimgrey,dimgrey,4
ENSG00000001497,LAS1L,LAS1L,LAS1 like ribosome biogenesis factor,brown,brown,0
ENSG00000001561,ENPP4,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,dimgrey,dimgrey,4
ENSG00000001617,SEMA3F,SEMA3F,semaphorin 3F,darkgrey,darkgrey,1
ENSG00000001629,ANKIB1,ANKIB1,ankyrin repeat and IBR domain containing 1,darkgrey,darkgrey,1
ENSG00000001631,KRIT1,KRIT1,KRIT1 ankyrin repeat containing,dimgrey,dimgrey,4
ENSG00000002016,RAD52,RAD52,RAD52 DNA repair protein,firebrick,firebrick,5
ENSG00000002330,BAD,BAD,BCL2 associated agonist of cell death,dimgrey,dimgrey,4
ENSG00000002549,LAP3,LAP3,leucine aminopeptidase 3,dimgrey,dimgrey,4
ENSG00000002745,WNT16,WNT16,Wnt family member 16,dimgrey,dimgrey,4
ENSG00000002746,HECW1,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",maroon,maroon,9
ENSG00000002834,LASP1,LASP1,LIM and SH3 protein 1,dimgrey,dimgrey,4
ENSG00000002919,SNX11,SNX11,sorting nexin 11,lightgrey,lightgrey,8
ENSG00000003056,M6PR,M6PR,"mannose-6-phosphate receptor, cation dependent",dimgrey,dimgrey,4
ENSG00000003096,KLHL13,KLHL13,kelch like family member 13,brown,brown,0
ENSG00000003249,DBNDD1,DBNDD1,dysbindin domain containing 1,dimgrey,dimgrey,4
ENSG00000003393,ALS2,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,darkgrey,darkgrey,1
ENSG00000003400,CASP10,CASP10,caspase 10,brown,brown,0
ENSG00000003402,CFLAR,CFLAR,CASP8 and FADD like apoptosis regulator,darkgrey,darkgrey,1
ENSG00000003436,TFPI,TFPI,tissue factor pathway inhibitor,darkgrey,darkgrey,1
ENSG00000003509,NDUFAF7,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,lightgrey,lightgrey,8
ENSG00000003756,RBM5,RBM5,RNA binding motif protein 5,darkgrey,darkgrey,1
ENSG00000003987,MTMR7,MTMR7,myotubularin related protein 7,indianred,indianred,6
ENSG00000004059,ARF5,ARF5,ARF GTPase 5,dimgrey,dimgrey,4
ENSG00000004142,POLDIP2,POLDIP2,DNA polymerase delta interacting protein 2,dimgrey,dimgrey,4
ENSG00000004399,PLXND1,PLXND1,plexin D1,darkgrey,darkgrey,1
ENSG00000004455,AK2,AK2,adenylate kinase 2,dimgrey,dimgrey,4
ENSG00000004478,FKBP4,FKBP4,FKBP prolyl isomerase 4,dimgrey,dimgrey,4
ENSG00000004487,KDM1A,KDM1A,lysine demethylase 1A,lightcoral,lightcoral,7
ENSG00000004534,RBM6,RBM6,RNA binding motif protein 6,darkgrey,darkgrey,1
ENSG00000004660,CAMKK1,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,darkgrey,darkgrey,1
ENSG00000004700,RECQL,RECQL,RecQ like helicase,darkgrey,darkgrey,1
ENSG00000004766,VPS50,VPS50,VPS50 subunit of EARP/GARPII complex,dimgrey,dimgrey,4
ENSG00000004776,HSPB6,HSPB6,heat shock protein family B (small) member 6,dimgrey,dimgrey,4
ENSG00000004777,ARHGAP33,ARHGAP33,Rho GTPase activating protein 33,darkgrey,darkgrey,1
ENSG00000004779,NDUFAB1,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,dimgrey,dimgrey,4
ENSG00000004864,SLC25A13,SLC25A13,solute carrier family 25 member 13,dimgrey,dimgrey,4
ENSG00000004866,ST7,ST7,suppression of tumorigenicity 7,dimgrey,dimgrey,4
ENSG00000004897,CDC27,CDC27,cell division cycle 27,darkgrey,darkgrey,1
ENSG00000004961,HCCS,HCCS,holocytochrome c synthase,darkgrey,darkgrey,1
ENSG00000004975,DVL2,DVL2,dishevelled segment polarity protein 2,darkgrey,darkgrey,1
ENSG00000005007,UPF1,UPF1,UPF1 RNA helicase and ATPase,darkgrey,darkgrey,1
ENSG00000005020,SKAP2,SKAP2,src kinase associated phosphoprotein 2,lightcoral,lightcoral,7
ENSG00000005022,SLC25A5,SLC25A5,solute carrier family 25 member 5,dimgrey,dimgrey,4
ENSG00000005059,MCUB,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,dimgrey,dimgrey,4
ENSG00000005073,HOXA11,HOXA11,homeobox A11,dimgrey,dimgrey,4
ENSG00000005075,POLR2J,POLR2J,RNA polymerase II subunit J,darkgrey,darkgrey,1
ENSG00000005100,DHX33,DHX33,DEAH-box helicase 33,dimgrey,dimgrey,4
ENSG00000005156,LIG3,LIG3,DNA ligase 3,darkgrey,darkgrey,1
ENSG00000005175,RPAP3,RPAP3,RNA polymerase II associated protein 3,darkgrey,darkgrey,1
ENSG00000005189,REXO5,REXO5,RNA exonuclease 5,brown,brown,0
ENSG00000005194,CIAPIN1,CIAPIN1,cytokine induced apoptosis inhibitor 1,indianred,indianred,6
ENSG00000005206,SPPL2B,SPPL2B,signal peptide peptidase like 2B,darkgrey,darkgrey,1
ENSG00000005238,ATOSB,ATOSB,atos homolog B,darkgrey,darkgrey,1
ENSG00000005243,COPZ2,COPZ2,coat protein complex I subunit zeta 2,dimgrey,dimgrey,4
ENSG00000005249,PRKAR2B,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,darkgrey,darkgrey,1
ENSG00000005302,MSL3,MSL3,MSL complex subunit 3,dimgrey,dimgrey,4
ENSG00000005339,CREBBP,CREBBP,CREB binding lysine acetyltransferase,dimgrey,dimgrey,4
ENSG00000005436,GCFC2,GCFC2,GC-rich sequence DNA-binding factor 2,darkgrey,darkgrey,1
ENSG00000005448,WDR54,WDR54,WD repeat domain 54,darkgrey,darkgrey,1
ENSG00000005469,CROT,CROT,carnitine O-octanoyltransferase,dimgrey,dimgrey,4
ENSG00000005483,KMT2E,KMT2E,lysine methyltransferase 2E (inactive),mistyrose,mistyrose,10
ENSG00000005486,RHBDD2,RHBDD2,rhomboid domain containing 2,firebrick,firebrick,5
ENSG00000005700,IBTK,IBTK,inhibitor of Bruton tyrosine kinase,maroon,maroon,9
ENSG00000005801,ZNF195,ZNF195,zinc finger protein 195,darkgrey,darkgrey,1
ENSG00000005810,MYCBP2,MYCBP2,MYC binding protein 2,darkgrey,darkgrey,1
ENSG00000005812,FBXL3,FBXL3,F-box and leucine rich repeat protein 3,dimgrey,dimgrey,4
ENSG00000005882,PDK2,PDK2,pyruvate dehydrogenase kinase 2,darkgrey,darkgrey,1
ENSG00000005884,ITGA3,ITGA3,integrin subunit alpha 3,darkgrey,darkgrey,1
ENSG00000005889,ZFX,ZFX,zinc finger protein X-linked,lightgrey,lightgrey,8
ENSG00000005893,LAMP2,LAMP2,lysosome associated membrane protein 2,darkgrey,darkgrey,1
ENSG00000006007,GDE1,GDE1,glycerophosphodiester phosphodiesterase 1,brown,brown,0
ENSG00000006015,REX1BD,REX1BD,required for excision 1-B domain containing,darkgrey,darkgrey,1
ENSG00000006016,CRLF1,CRLF1,cytokine receptor like factor 1,darkgrey,darkgrey,1
ENSG00000006025,OSBPL7,OSBPL7,oxysterol binding protein like 7,dimgrey,dimgrey,4
ENSG00000006042,TMEM98,TMEM98,transmembrane protein 98,darkgrey,darkgrey,1
ENSG00000006118,TMEM132A,TMEM132A,transmembrane protein 132A,lightgrey,lightgrey,8
ENSG00000006125,AP2B1,AP2B1,adaptor related protein complex 2 subunit beta 1,darkgrey,darkgrey,1
ENSG00000006194,ZNF263,ZNF263,zinc finger protein 263,darkgrey,darkgrey,1
ENSG00000006282,SPATA20,SPATA20,spermatogenesis associated 20,dimgrey,dimgrey,4
ENSG00000006327,TNFRSF12A,TNFRSF12A,TNF receptor superfamily member 12A,darkgrey,darkgrey,1
ENSG00000006451,RALA,RALA,RAS like proto-oncogene A,lightgrey,lightgrey,8
ENSG00000006453,BAIAP2L1,BAIAP2L1,BAR/IMD domain containing adaptor protein 2 like 1,dimgrey,dimgrey,4
ENSG00000006459,KDM7A,KDM7A,lysine demethylase 7A,maroon,maroon,9
ENSG00000006468,ETV1,ETV1,ETS variant transcription factor 1,dimgrey,dimgrey,4
ENSG00000006530,AGK,AGK,acylglycerol kinase,dimgrey,dimgrey,4
ENSG00000006534,ALDH3B1,ALDH3B1,aldehyde dehydrogenase 3 family member B1,darkgrey,darkgrey,1
ENSG00000006576,PHTF2,PHTF2,putative homeodomain transcription factor 2,dimgrey,dimgrey,4
ENSG00000006606,CCL26,CCL26,C-C motif chemokine ligand 26,dimgrey,dimgrey,4
ENSG00000006607,FARP2,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",dimgrey,dimgrey,4
ENSG00000006625,GGCT,GGCT,gamma-glutamylcyclotransferase,lightgrey,lightgrey,8
ENSG00000006634,DBF4,DBF4,DBF4-CDC7 kinase regulatory subunit,darkgrey,darkgrey,1
ENSG00000006638,TBXA2R,TBXA2R,thromboxane A2 receptor,darkgrey,darkgrey,1
ENSG00000006652,IFRD1,IFRD1,interferon related developmental regulator 1,darkgrey,darkgrey,1
ENSG00000006695,COX10,COX10,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,whitesmoke,whitesmoke,13
ENSG00000006704,GTF2IRD1,GTF2IRD1,GTF2I repeat domain containing 1,dimgrey,dimgrey,4
ENSG00000006712,PAF1,PAF1,PAF1 component of Paf1/RNA polymerase II complex,darkgrey,darkgrey,1
ENSG00000006715,VPS41,VPS41,VPS41 subunit of HOPS complex,darkgrey,darkgrey,1
ENSG00000006740,ARHGAP44,ARHGAP44,Rho GTPase activating protein 44,dimgrey,dimgrey,4
ENSG00000006744,ELAC2,ELAC2,elaC ribonuclease Z 2,dimgrey,dimgrey,4
ENSG00000006756,ARSD,ARSD,arylsulfatase D,darkgrey,darkgrey,1
ENSG00000006757,PNPLA4,PNPLA4,"patatin like domain 4, phospholipase and triacylglycerol lipase",dimgrey,dimgrey,4
ENSG00000006831,ADIPOR2,ADIPOR2,adiponectin receptor 2,brown,brown,0
ENSG00000006837,CDKL3,CDKL3,cyclin dependent kinase like 3,dimgrey,dimgrey,4
ENSG00000007047,MARK4,MARK4,microtubule affinity regulating kinase 4,darkgrey,darkgrey,1
ENSG00000007080,CCDC124,CCDC124,coiled-coil domain containing 124,dimgrey,dimgrey,4
ENSG00000007168,PAFAH1B1,PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,dimgrey,dimgrey,4
ENSG00000007202,BLTP2,BLTP2,bridge-like lipid transfer protein family member 2,darkgrey,darkgrey,1
ENSG00000007237,GAS7,GAS7,growth arrest specific 7,dimgrey,dimgrey,4
ENSG00000007255,TRAPPC6A,TRAPPC6A,trafficking protein particle complex subunit 6A,darkgrey,darkgrey,1
ENSG00000007341,ST7L,ST7L,suppression of tumorigenicity 7 like,darkgrey,darkgrey,1
ENSG00000007376,RPUSD1,RPUSD1,RNA pseudouridine synthase domain containing 1,darkgrey,darkgrey,1
ENSG00000007384,RHBDF1,RHBDF1,rhomboid 5 homolog 1,darkgrey,darkgrey,1
ENSG00000007392,LUC7L,LUC7L,LUC7 like,darkgrey,darkgrey,1
ENSG00000007402,CACNA2D2,CACNA2D2,calcium voltage-gated channel auxiliary subunit alpha2delta 2,darkgrey,darkgrey,1
ENSG00000007520,TSR3,TSR3,TSR3 ribosome maturation factor,dimgrey,dimgrey,4
ENSG00000007541,PIGQ,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,darkgrey,darkgrey,1
ENSG00000007545,CRAMP1,CRAMP1,cramped chromatin regulator 1,darkgrey,darkgrey,1
ENSG00000007866,TEAD3,TEAD3,TEA domain transcription factor 3,dimgrey,dimgrey,4
ENSG00000007923,DNAJC11,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,darkgrey,darkgrey,1
ENSG00000007933,FMO3,FMO3,flavin containing dimethylaniline monoxygenase 3,indianred,indianred,6
ENSG00000007944,MYLIP,MYLIP,myosin regulatory light chain interacting protein,dimgrey,dimgrey,4
ENSG00000007952,NOX1,NOX1,NADPH oxidase 1,darkgrey,darkgrey,1
ENSG00000008018,PSMB1,PSMB1,proteasome 20S subunit beta 1,lightgrey,lightgrey,8
ENSG00000008056,SYN1,SYN1,synapsin I,dimgrey,dimgrey,4
ENSG00000008083,JARID2,JARID2,jumonji and AT-rich interaction domain containing 2,darkgrey,darkgrey,1
ENSG00000008086,CDKL5,CDKL5,cyclin dependent kinase like 5,darkgrey,darkgrey,1
ENSG00000008118,CAMK1G,CAMK1G,calcium/calmodulin dependent protein kinase IG,snow,snow,12
ENSG00000008130,NADK,NADK,NAD kinase,maroon,maroon,9
ENSG00000008256,CYTH3,CYTH3,cytohesin 3,darkgrey,darkgrey,1
ENSG00000008277,ADAM22,ADAM22,ADAM metallopeptidase domain 22,dimgrey,dimgrey,4
ENSG00000008282,SYPL1,SYPL1,synaptophysin like 1,dimgrey,dimgrey,4
ENSG00000008283,CYB561,CYB561,cytochrome b561,darkgrey,darkgrey,1
ENSG00000008294,SPAG9,SPAG9,sperm associated antigen 9,darkgrey,darkgrey,1
ENSG00000008300,CELSR3,CELSR3,cadherin EGF LAG seven-pass G-type receptor 3,darkgrey,darkgrey,1
ENSG00000008311,AASS,AASS,aminoadipate-semialdehyde synthase,darkgrey,darkgrey,1
ENSG00000008324,SS18L2,SS18L2,SS18 like 2,darkgrey,darkgrey,1
ENSG00000008382,MPND,MPND,MPN domain containing,darkgrey,darkgrey,1
ENSG00000008394,MGST1,MGST1,microsomal glutathione S-transferase 1,dimgrey,dimgrey,4
ENSG00000008405,CRY1,CRY1,cryptochrome circadian regulator 1,dimgrey,dimgrey,4
ENSG00000008441,NFIX,NFIX,nuclear factor I X,darkgrey,darkgrey,1
ENSG00000008513,ST3GAL1,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",darkgrey,darkgrey,1
ENSG00000008517,IL32,IL32,interleukin 32,lightgrey,lightgrey,8
ENSG00000008710,PKD1,PKD1,"polycystin 1, transient receptor potential channel interacting",brown,brown,0
ENSG00000008838,MED24,MED24,mediator complex subunit 24,darkgrey,darkgrey,1
ENSG00000008853,RHOBTB2,RHOBTB2,Rho related BTB domain containing 2,lightgrey,lightgrey,8
ENSG00000008869,HEATR5B,HEATR5B,HEAT repeat containing 5B,dimgrey,dimgrey,4
ENSG00000008952,SEC62,SEC62,SEC62 preprotein translocation factor,brown,brown,0
ENSG00000008988,RPS20,RPS20,ribosomal protein S20,dimgrey,dimgrey,4
ENSG00000009307,CSDE1,CSDE1,cold shock domain containing E1,darkgrey,darkgrey,1
ENSG00000009335,UBE3C,UBE3C,ubiquitin protein ligase E3C,dimgrey,dimgrey,4
ENSG00000009413,REV3L,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",darkgrey,darkgrey,1
ENSG00000009724,MASP2,MASP2,MBL associated serine protease 2,indianred,indianred,6
ENSG00000009780,FAM76A,FAM76A,family with sequence similarity 76 member A,brown,brown,0
ENSG00000009830,POMT2,POMT2,protein O-mannosyltransferase 2,darkgrey,darkgrey,1
ENSG00000009844,VTA1,VTA1,vesicle trafficking 1,lightgrey,lightgrey,8
ENSG00000009954,BAZ1B,BAZ1B,bromodomain adjacent to zinc finger domain 1B,darkred,darkred,2
ENSG00000010017,RANBP9,RANBP9,RAN binding protein 9,indianred,indianred,6
ENSG00000010072,SPRTN,SPRTN,SprT-like N-terminal domain,snow,snow,12
ENSG00000010165,METTL13,METTL13,"methyltransferase 13, eEF1A N-terminus and K55",dimgrey,dimgrey,4
ENSG00000010219,DYRK4,DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4,darkgrey,darkgrey,1
ENSG00000010244,ZNF207,ZNF207,zinc finger protein 207,dimgrey,dimgrey,4
ENSG00000010256,UQCRC1,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,dimgrey,dimgrey,4
ENSG00000010270,STARD3NL,STARD3NL,STARD3 N-terminal like,dimgrey,dimgrey,4
ENSG00000010278,CD9,CD9,CD9 molecule,whitesmoke,whitesmoke,13
ENSG00000010292,NCAPD2,NCAPD2,non-SMC condensin I complex subunit D2,dimgrey,dimgrey,4
ENSG00000010295,IFFO1,IFFO1,intermediate filament family orphan 1,mistyrose,mistyrose,10
ENSG00000010318,PHF7,PHF7,PHD finger protein 7,darkgrey,darkgrey,1
ENSG00000010322,NISCH,NISCH,nischarin,darkgrey,darkgrey,1
ENSG00000010404,IDS,IDS,iduronate 2-sulfatase,whitesmoke,whitesmoke,13
ENSG00000010438,PRSS3,PRSS3,serine protease 3,firebrick,firebrick,5
ENSG00000010539,ZNF200,ZNF200,zinc finger protein 200,whitesmoke,whitesmoke,13
ENSG00000010610,CD4,CD4,CD4 molecule,brown,brown,0
ENSG00000010626,LRRC23,LRRC23,leucine rich repeat containing 23,darkgrey,darkgrey,1
ENSG00000010704,HFE,HFE,homeostatic iron regulator,dimgrey,dimgrey,4
ENSG00000010803,SCMH1,SCMH1,Scm polycomb group protein homolog 1,darkgrey,darkgrey,1
ENSG00000010810,FYN,FYN,"FYN proto-oncogene, Src family tyrosine kinase",dimgrey,dimgrey,4
ENSG00000010818,HIVEP2,HIVEP2,HIVEP zinc finger 2,whitesmoke,whitesmoke,13
ENSG00000010932,FMO1,FMO1,flavin containing dimethylaniline monoxygenase 1,dimgrey,dimgrey,4
ENSG00000011007,ELOA,ELOA,elongin A,darkgrey,darkgrey,1
ENSG00000011009,LYPLA2,LYPLA2,lysophospholipase 2,dimgrey,dimgrey,4
ENSG00000011021,CLCN6,CLCN6,Cl-/H+ antiporter 6,darkgrey,darkgrey,1
ENSG00000011028,MRC2,MRC2,mannose receptor C-type 2,darkgrey,darkgrey,1
ENSG00000011105,TSPAN9,TSPAN9,tetraspanin 9,darkgrey,darkgrey,1
ENSG00000011114,BTBD7,BTBD7,BTB domain containing 7,darkgrey,darkgrey,1
ENSG00000011132,APBA3,APBA3,amyloid beta precursor protein binding family A member 3,darkgrey,darkgrey,1
ENSG00000011143,MKS1,MKS1,MKS transition zone complex subunit 1,darkgrey,darkgrey,1
ENSG00000011198,ABHD5,ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",whitesmoke,whitesmoke,13
ENSG00000011201,ANOS1,ANOS1,anosmin 1,dimgrey,dimgrey,4
ENSG00000011243,AKAP8L,AKAP8L,A-kinase anchoring protein 8 like,darkgrey,darkgrey,1
ENSG00000011258,MBTD1,MBTD1,mbt domain containing 1,dimgrey,dimgrey,4
ENSG00000011260,UTP18,UTP18,UTP18 small subunit processome component,dimgrey,dimgrey,4
ENSG00000011275,RNF216,RNF216,ring finger protein 216,darkgrey,darkgrey,1
ENSG00000011295,TTC19,TTC19,tetratricopeptide repeat domain 19,darkgrey,darkgrey,1
ENSG00000011304,PTBP1,PTBP1,polypyrimidine tract binding protein 1,darkgrey,darkgrey,1
ENSG00000011332,DPF1,DPF1,double PHD fingers 1,darkgrey,darkgrey,1
ENSG00000011347,SYT7,SYT7,synaptotagmin 7,dimgrey,dimgrey,4
ENSG00000011376,LARS2,LARS2,"leucyl-tRNA synthetase 2, mitochondrial",snow,snow,12
ENSG00000011405,PIK3C2A,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,darkgrey,darkgrey,1
ENSG00000011422,PLAUR,PLAUR,"plasminogen activator, urokinase receptor",darkgrey,darkgrey,1
ENSG00000011426,ANLN,ANLN,"anillin, actin binding protein",indianred,indianred,6
ENSG00000011451,WIZ,WIZ,WIZ zinc finger,darkgrey,darkgrey,1
ENSG00000011454,RABGAP1,RABGAP1,RAB GTPase activating protein 1,dimgrey,dimgrey,4
ENSG00000011465,DCN,DCN,decorin,darkgrey,darkgrey,1
ENSG00000011478,QPCTL,QPCTL,glutaminyl-peptide cyclotransferase like,darkgrey,darkgrey,1
ENSG00000011485,PPP5C,PPP5C,protein phosphatase 5 catalytic subunit,darkgrey,darkgrey,1
ENSG00000011523,CEP68,CEP68,centrosomal protein 68,dimgrey,dimgrey,4
ENSG00000011566,MAP4K3,MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3,darkgrey,darkgrey,1
ENSG00000012048,BRCA1,BRCA1,BRCA1 DNA repair associated,firebrick,firebrick,5
ENSG00000012061,ERCC1,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",dimgrey,dimgrey,4
ENSG00000012124,CD22,CD22,CD22 molecule,dimgrey,dimgrey,4
ENSG00000012171,SEMA3B,SEMA3B,semaphorin 3B,darkgrey,darkgrey,1
ENSG00000012174,MBTPS2,MBTPS2,"membrane bound transcription factor peptidase, site 2",dimgrey,dimgrey,4
ENSG00000012211,PRICKLE3,PRICKLE3,prickle planar cell polarity protein 3,brown,brown,0
ENSG00000012232,EXTL3,EXTL3,exostosin like glycosyltransferase 3,darkgrey,darkgrey,1
ENSG00000012660,ELOVL5,ELOVL5,ELOVL fatty acid elongase 5,brown,brown,0
ENSG00000012822,CALCOCO1,CALCOCO1,calcium binding and coiled-coil domain 1,maroon,maroon,9
ENSG00000012963,UBR7,UBR7,ubiquitin protein ligase E3 component n-recognin 7,brown,brown,0
ENSG00000012983,MAP4K5,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,dimgrey,dimgrey,4
ENSG00000013016,EHD3,EHD3,EH domain containing 3,brown,brown,0
ENSG00000013275,PSMC4,PSMC4,"proteasome 26S subunit, ATPase 4",dimgrey,dimgrey,4
ENSG00000013288,MAN2B2,MAN2B2,mannosidase alpha class 2B member 2,dimgrey,dimgrey,4
ENSG00000013293,SLC7A14,SLC7A14,solute carrier family 7 member 14,firebrick,firebrick,5
ENSG00000013297,CLDN11,CLDN11,claudin 11,dimgrey,dimgrey,4
ENSG00000013306,SLC25A39,SLC25A39,solute carrier family 25 member 39,lightgrey,lightgrey,8
ENSG00000013364,MVP,MVP,major vault protein,dimgrey,dimgrey,4
ENSG00000013374,NUB1,NUB1,negative regulator of ubiquitin like proteins 1,whitesmoke,whitesmoke,13
ENSG00000013375,PGM3,PGM3,phosphoglucomutase 3,dimgrey,dimgrey,4
ENSG00000013392,RWDD2A,RWDD2A,RWD domain containing 2A,dimgrey,dimgrey,4
ENSG00000013441,CLK1,CLK1,CDC like kinase 1,darkgrey,darkgrey,1
ENSG00000013503,POLR3B,POLR3B,RNA polymerase III subunit B,brown,brown,0
ENSG00000013523,ANGEL1,ANGEL1,angel homolog 1,brown,brown,0
ENSG00000013561,RNF14,RNF14,ring finger protein 14,darkgrey,darkgrey,1
ENSG00000013573,DDX11,DDX11,DEAD/H-box helicase 11,maroon,maroon,9
ENSG00000013583,HEBP1,HEBP1,heme binding protein 1,darkgrey,darkgrey,1
ENSG00000013588,GPRC5A,GPRC5A,G protein-coupled receptor class C group 5 member A,darkgrey,darkgrey,1
ENSG00000013619,MAMLD1,MAMLD1,mastermind like domain containing 1,darkgrey,darkgrey,1
ENSG00000013810,TACC3,TACC3,transforming acidic coiled-coil containing protein 3,darkgrey,darkgrey,1
ENSG00000014123,UFL1,UFL1,UFM1 specific ligase 1,snow,snow,12
ENSG00000014138,POLA2,POLA2,"DNA polymerase alpha 2, accessory subunit",dimgrey,dimgrey,4
ENSG00000014164,ZC3H3,ZC3H3,zinc finger CCCH-type containing 3,darkgrey,darkgrey,1
ENSG00000014216,CAPN1,CAPN1,calpain 1,darkgrey,darkgrey,1
ENSG00000014257,ACP3,ACP3,acid phosphatase 3,brown,brown,0
ENSG00000014641,MDH1,MDH1,malate dehydrogenase 1,dimgrey,dimgrey,4
ENSG00000014824,SLC30A9,SLC30A9,solute carrier family 30 member 9,whitesmoke,whitesmoke,13
ENSG00000014914,MTMR11,MTMR11,myotubularin related protein 11,dimgrey,dimgrey,4
ENSG00000014919,COX15,COX15,cytochrome c oxidase assembly factor COX15,dimgrey,dimgrey,4
ENSG00000015133,CCDC88C,CCDC88C,coiled-coil and HOOK domain protein 88C,dimgrey,dimgrey,4
ENSG00000015153,YAF2,YAF2,YY1 associated factor 2,darkgrey,darkgrey,1
ENSG00000015171,ZMYND11,ZMYND11,zinc finger MYND-type containing 11,whitesmoke,whitesmoke,13
ENSG00000015285,WAS,WAS,WASP actin nucleation promoting factor,darkgrey,darkgrey,1
ENSG00000015475,BID,BID,BH3 interacting domain death agonist,dimgrey,dimgrey,4
ENSG00000015479,MATR3,MATR3,matrin 3,indianred,indianred,6
ENSG00000015532,XYLT2,XYLT2,xylosyltransferase 2,darkgrey,darkgrey,1
ENSG00000015676,NUDCD3,NUDCD3,NudC domain containing 3,darkgrey,darkgrey,1
ENSG00000016864,GLT8D1,GLT8D1,glycosyltransferase 8 domain containing 1,whitesmoke,whitesmoke,13
ENSG00000017260,ATP2C1,ATP2C1,ATPase secretory pathway Ca2+ transporting 1,dimgrey,dimgrey,4
ENSG00000017483,SLC38A5,SLC38A5,solute carrier family 38 member 5,darkgrey,darkgrey,1
ENSG00000017797,RALBP1,RALBP1,ralA binding protein 1,brown,brown,0
ENSG00000018189,RUFY3,RUFY3,RUN and FYVE domain containing 3,dimgrey,dimgrey,4
ENSG00000018408,WWTR1,WWTR1,WW domain containing transcription regulator 1,darkgrey,darkgrey,1
ENSG00000018510,AGPS,AGPS,alkylglycerone phosphate synthase,lightgrey,lightgrey,8
ENSG00000018610,STEEP1,STEEP1,STING1 ER exit protein 1,dimgrey,dimgrey,4
ENSG00000018699,TTC27,TTC27,tetratricopeptide repeat domain 27,dimgrey,dimgrey,4
ENSG00000018869,ZNF582,ZNF582,zinc finger protein 582,dimgrey,dimgrey,4
ENSG00000019102,VSIG2,VSIG2,V-set and immunoglobulin domain containing 2,dimgrey,dimgrey,4
ENSG00000019144,PHLDB1,PHLDB1,pleckstrin homology like domain family B member 1,dimgrey,dimgrey,4
ENSG00000019485,PRDM11,PRDM11,PR/SET domain 11,indianred,indianred,6
ENSG00000019549,SNAI2,SNAI2,snail family transcriptional repressor 2,lightcoral,lightcoral,7
ENSG00000019582,CD74,CD74,CD74 molecule,dimgrey,dimgrey,4
ENSG00000019991,HGF,HGF,hepatocyte growth factor,darkgrey,darkgrey,1
ENSG00000019995,ZRANB1,ZRANB1,zinc finger RANBP2-type containing 1,dimgrey,dimgrey,4
ENSG00000020129,NCDN,NCDN,neurochondrin,lightgrey,lightgrey,8
ENSG00000020181,ADGRA2,ADGRA2,adhesion G protein-coupled receptor A2,darkgrey,darkgrey,1
ENSG00000020256,ZFP64,ZFP64,ZFP64 zinc finger protein,snow,snow,12
ENSG00000020426,MNAT1,MNAT1,MNAT1 component of CDK activating kinase,indianred,indianred,6
ENSG00000020577,SAMD4A,SAMD4A,sterile alpha motif domain containing 4A,dimgrey,dimgrey,4
ENSG00000020633,RUNX3,RUNX3,RUNX family transcription factor 3,darkgrey,darkgrey,1
