gene_id,Log2FC_MC100,Log2FC_MB1,Log2FC_MD1,Log2FC_MB100,Log2FC_MA100,Log2FC_MC1,Log2FC_MA1
ENSG00000232774,-2.662965012722429,-2.662965012722429,-0.07800251200127305,-2.662965012722429,-2.662965012722429,-2.662965012722429,-0.9259994185562229
ENSG00000232775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232778,0.0,0.0,0.0,0.0,0.0,2.115477217419936,0.0
ENSG00000232780,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232788,0.0,1.9068905956085183,0.45943161863729703,1.5235619560570128,-1.415037499278844,0.9068905956085184,-1.415037499278844
ENSG00000232789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232790,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232794,0.0,0.0,0.0,0.0,0.41503749927884376,0.0,0.736965594166206
ENSG00000232795,0.0,0.0,0.0,1.2223924213364477,0.0,0.0,0.0
ENSG00000232797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232799,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232803,-1.0000000000000002,-0.41503749927884404,-1.415037499278844,2.247927513443585,1.0874628412503393,-1.415037499278844,0.16992500144231207
ENSG00000232805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232807,0.20645087746742652,0.13245029602364966,-0.1154772174199359,0.0,-0.3428877135230085,-0.6129768768907525,-0.3785116232537297
ENSG00000232808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
