,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_brown,0.47705281928252413,0.6905201882409993,0.47705281928252413,0.6580111140292166,0.9419828866087913,0.00700866859867616,0.760432622833199,0.690752936941773,0.43940866520857186,0.537130991504398
ME_darkgrey,0.019900109468488924,0.1448098311458074,0.019900109468488924,0.9215826673069231,0.24344296917685973,0.7219040364989043,0.17029192045407326,0.1824212062792065,0.0009391460191464276,0.11976768374997053
ME_darkred,0.01381201043432968,0.1778006519344894,0.01381201043432974,0.8725960026089935,0.0009960188017923684,0.10828667363166268,0.5418678660892764,0.5531569996588933,0.7985709234716016,0.025326135540405068
ME_darksalmon,0.6345372584364887,0.7817816287184375,0.6345372584364887,0.22820587435259157,0.3091790665925146,0.4223490275286036,0.40700041048257335,0.1759171153880375,0.6238127880852996,0.989116545755956
ME_dimgrey,0.28706008234245767,0.2788027618692899,0.28706008234245767,0.29803005935230953,0.020263868212785707,0.8668990513856135,0.2515222115177712,0.048714841927913775,0.005315549031981907,0.6379830452994617
ME_firebrick,0.10324802397674074,0.059421998392739546,0.10324802397674074,0.9275183390712731,0.001706488489504585,0.41662393904660683,0.8093797820701073,0.6235839254339189,0.7663316002281276,0.3972177925562637
ME_indianred,0.1958001130635475,0.3087035869434953,0.1958001130635475,0.6057877786915105,0.7016434533540836,0.06294519629289914,0.7246237598209433,0.14553659422616105,0.2841225982419614,0.3696733451006139
ME_lightcoral,0.6197298861569308,0.896191616171622,0.6197298861569308,0.6366087875918278,0.27990621676790417,0.09527539394026271,0.9098881664127393,0.039803940778342865,0.8016203319906837,0.5706493147746206
ME_lightgrey,0.014880828254060209,0.4638022538269969,0.014880828254060209,0.5034295051957565,0.183085864373099,0.2687185324804669,0.532179629978336,0.5176320539476224,0.19633208856198983,0.023337670661755044
ME_maroon,0.33090484975799056,0.22315583618211426,0.33090484975799056,0.645067032223626,0.5861280895297175,0.892654255700338,0.657835378585988,0.002087112175104902,0.7081887498170787,0.437727337818861
ME_mistyrose,0.7253884722219606,0.6394962958444294,0.7253884722219612,0.7108154060135148,0.563195927156332,0.49483842287640506,0.7850446075454935,0.48523889505738277,0.8469438361156122,0.39002189633222006
ME_red,0.09110629422175288,0.015878638714646752,0.09110629422175288,0.741416478573504,0.0008891980433326685,0.476048184602527,0.7790549489919297,0.34499454769046656,0.38322143086530025,0.3163485835039433
ME_snow,0.4612341090012712,0.6539239190689083,0.4612341090012712,0.9432342512041906,0.9364003575908061,0.6646114440958408,0.6856398076272538,0.02004248965297771,0.5802604560376162,0.5285044773623565
ME_whitesmoke,0.30540257652802005,0.26657118923636286,0.30540257652802005,0.43937172383765827,0.016433426635426355,0.0516362206481404,0.8563671739353085,0.2610789621607156,0.5374356242399384,0.9334905391936289
