gene_id,dynamic_module,module,module_label
ENSG00000116260,darkgrey,darkgrey,1
ENSG00000116266,indianred,indianred,6
ENSG00000116273,maroon,maroon,9
ENSG00000116285,dimgrey,dimgrey,4
ENSG00000116288,dimgrey,dimgrey,4
ENSG00000116299,maroon,maroon,9
ENSG00000116337,darkgrey,darkgrey,1
ENSG00000116350,darkgrey,darkgrey,1
ENSG00000116353,whitesmoke,whitesmoke,13
ENSG00000116396,dimgrey,dimgrey,4
ENSG00000116406,darkgrey,darkgrey,1
ENSG00000116455,dimgrey,dimgrey,4
ENSG00000116459,dimgrey,dimgrey,4
ENSG00000116473,indianred,indianred,6
ENSG00000116478,darkgrey,darkgrey,1
ENSG00000116489,lightcoral,lightcoral,7
ENSG00000116497,darkgrey,darkgrey,1
ENSG00000116514,dimgrey,dimgrey,4
ENSG00000116521,dimgrey,dimgrey,4
ENSG00000116525,darkgrey,darkgrey,1
ENSG00000116539,whitesmoke,whitesmoke,13
ENSG00000116560,dimgrey,dimgrey,4
ENSG00000116580,dimgrey,dimgrey,4
ENSG00000116584,darkgrey,darkgrey,1
ENSG00000116586,whitesmoke,whitesmoke,13
ENSG00000116604,lightgrey,lightgrey,8
ENSG00000116641,maroon,maroon,9
ENSG00000116649,darkgrey,darkgrey,1
ENSG00000116661,darkgrey,darkgrey,1
ENSG00000116667,darkgrey,darkgrey,1
ENSG00000116668,brown,brown,0
ENSG00000116670,darkgrey,darkgrey,1
ENSG00000116675,dimgrey,dimgrey,4
ENSG00000116678,darkgrey,darkgrey,1
ENSG00000116679,brown,brown,0
ENSG00000116685,darkgrey,darkgrey,1
ENSG00000116688,darkgrey,darkgrey,1
ENSG00000116691,darkgrey,darkgrey,1
ENSG00000116698,darkgrey,darkgrey,1
ENSG00000116701,indianred,indianred,6
ENSG00000116704,dimgrey,dimgrey,4
ENSG00000116711,dimgrey,dimgrey,4
ENSG00000116717,lightgrey,lightgrey,8
ENSG00000116729,dimgrey,dimgrey,4
ENSG00000116731,darkgrey,darkgrey,1
ENSG00000116741,darkgrey,darkgrey,1
ENSG00000116747,darkgrey,darkgrey,1
ENSG00000116750,dimgrey,dimgrey,4
ENSG00000116752,dimgrey,dimgrey,4
ENSG00000116754,lightgrey,lightgrey,8
ENSG00000116761,darkgrey,darkgrey,1
ENSG00000116771,darkgrey,darkgrey,1
ENSG00000116774,red,red,11
ENSG00000116786,darkgrey,darkgrey,1
ENSG00000116791,darkgrey,darkgrey,1
ENSG00000116793,brown,brown,0
ENSG00000116809,darkgrey,darkgrey,1
ENSG00000116815,dimgrey,dimgrey,4
ENSG00000116830,darkgrey,darkgrey,1
ENSG00000116857,darkgrey,darkgrey,1
ENSG00000116863,mistyrose,mistyrose,10
ENSG00000116871,darkgrey,darkgrey,1
ENSG00000116874,dimgrey,dimgrey,4
ENSG00000116885,darkgrey,darkgrey,1
ENSG00000116898,dimgrey,dimgrey,4
ENSG00000116903,dimgrey,dimgrey,4
ENSG00000116906,dimgrey,dimgrey,4
ENSG00000116918,dimgrey,dimgrey,4
ENSG00000116922,indianred,indianred,6
ENSG00000116954,dimgrey,dimgrey,4
ENSG00000116962,lightcoral,lightcoral,7
ENSG00000116977,lightgrey,lightgrey,8
ENSG00000116984,darkgrey,darkgrey,1
ENSG00000116991,darkgrey,darkgrey,1
ENSG00000117000,darkgrey,darkgrey,1
ENSG00000117009,dimgrey,dimgrey,4
