node_name,gene_id,gene_symbol,string_gene_label,gene_name,modules,contrasts,n_selected_rows,n_contrasts,min_padj,max_abs_log2FoldChange,mean_abs_log2FoldChange,strongest_contrast,strongest_log2FoldChange,strongest_padj,strongest_regulation,n_up_rows,n_down_rows,log2FC__MA100_vs_CTR,log2FC__MA100_vs_MA1,log2FC__MC100_vs_MC1,log2FC__MC1_vs_CTR,log2FC__MD1_vs_CTR,padj__MA100_vs_CTR,padj__MA100_vs_MA1,padj__MC100_vs_MC1,padj__MC1_vs_CTR,padj__MD1_vs_CTR,regulation__MA100_vs_CTR,regulation__MA100_vs_MA1,regulation__MC100_vs_MC1,regulation__MC1_vs_CTR,regulation__MD1_vs_CTR
EML2,ENSG00000125746,EML2,EML2,EMAP like 2,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,1.49857529887921e-07,1.9516819812735544,1.4906026091610596,MC100_vs_MC1,-1.9516819812735544,1.49857529887921e-07,up_in_reference,3,1,1.4349222453170032,,-1.9516819812735544,1.3105681286818516,1.2652380813718294,0.000336907986307,,1.49857529887921e-07,0.0009657544583733,0.001685552889616,up_in_tested,,up_in_reference,up_in_tested,up_in_tested
AHSA1,ENSG00000100591,AHSA1,AHSA1,activator of HSP90 ATPase activity 1,darkgrey,MC100_vs_MC1,1,1,1.49857529887921e-07,1.115320812787543,1.115320812787543,MC100_vs_MC1,-1.115320812787543,1.49857529887921e-07,up_in_reference,0,1,,,-1.115320812787543,,,,,1.49857529887921e-07,,,,,up_in_reference,,
ING3,ENSG00000071243,ING3,ING3,inhibitor of growth family member 3,whitesmoke,MC100_vs_MC1,1,1,1.5874805111227833e-07,1.1923332969965403,1.1923332969965403,MC100_vs_MC1,-1.1923332969965403,1.5874805111227833e-07,up_in_reference,0,1,,,-1.1923332969965403,,,,,1.5874805111227833e-07,,,,,up_in_reference,,
FASTK,ENSG00000164896,FASTK,FASTK,Fas activated serine/threonine kinase,darkgrey,MC100_vs_MC1;MD1_vs_CTR,2,2,1.63639648870299e-07,1.2282712955133572,1.1360085976255276,MC100_vs_MC1,-1.2282712955133572,1.63639648870299e-07,up_in_reference,1,1,,,-1.2282712955133572,,1.043745899737698,,,1.63639648870299e-07,,2.0986874089618484e-05,,,up_in_reference,,up_in_tested
UBN1,ENSG00000118900,UBN1,UBN1,ubinuclein 1,darkgrey,MC100_vs_MC1,1,1,1.7689049923956278e-07,1.044594182425426,1.044594182425426,MC100_vs_MC1,-1.044594182425426,1.7689049923956278e-07,up_in_reference,0,1,,,-1.044594182425426,,,,,1.7689049923956278e-07,,,,,up_in_reference,,
ZNF48,ENSG00000180035,ZNF48,ZNF48,zinc finger protein 48,dimgrey,MA100_vs_CTR,1,1,1.974919313158536e-07,1.7591554731635513,1.7591554731635513,MA100_vs_CTR,-1.7591554731635513,1.974919313158536e-07,up_in_reference,0,1,-1.7591554731635513,,,,,1.974919313158536e-07,,,,,up_in_reference,,,,
RPL7,ENSG00000147604,RPL7,RPL7,ribosomal protein L7,dimgrey,MC100_vs_MC1,1,1,2.0138353241611165e-07,1.111103214271837,1.111103214271837,MC100_vs_MC1,1.111103214271837,2.0138353241611165e-07,up_in_tested,1,0,,,1.111103214271837,,,,,2.0138353241611165e-07,,,,,up_in_tested,,
BRD3,ENSG00000169925,BRD3,BRD3,bromodomain containing 3,darkgrey,MC1_vs_CTR,1,1,2.249893192504985e-07,1.0112315290400733,1.0112315290400733,MC1_vs_CTR,1.0112315290400733,2.249893192504985e-07,up_in_tested,1,0,,,,1.0112315290400733,,,,,2.249893192504985e-07,,,,,up_in_tested,
BCCIP,ENSG00000107949,BCCIP,BCCIP,BRCA2 and CDKN1A interacting protein,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,2.814832836498998e-07,1.3189076460361522,1.248542902452215,MC100_vs_MC1,-1.3189076460361522,2.814832836498998e-07,up_in_reference,2,1,1.267917122262222,,-1.3189076460361522,1.1588039390582705,,3.1409150614409062e-06,,2.814832836498998e-07,1.7595160362230395e-05,,up_in_tested,,up_in_reference,up_in_tested,
GRN,ENSG00000030582,GRN,GRN,granulin precursor,darkgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR;MD1_vs_CTR,4,4,2.987209931117553e-07,1.3626932178857185,1.1588646752964253,MC100_vs_MC1,-1.3626932178857185,2.987209931117553e-07,up_in_reference,3,1,1.037159773196397,,-1.3626932178857185,1.1847870840459376,1.0508186260576478,0.0003087044754671,,2.987209931117553e-07,2.379392335508746e-05,0.0002057532414842,up_in_tested,,up_in_reference,up_in_tested,up_in_tested
SRP9,ENSG00000143742,SRP9,SRP9,signal recognition particle 9,dimgrey,MA100_vs_CTR;MC100_vs_MC1;MC1_vs_CTR,3,3,3.145239326101456e-07,1.240646565285644,1.1494622145327462,MC100_vs_MC1,1.240646565285644,3.145239326101456e-07,up_in_tested,1,2,-1.0705739546059945,,1.240646565285644,-1.1371661237066,,4.017967688781284e-05,,3.145239326101456e-07,7.892693399043077e-06,,up_in_reference,,up_in_tested,up_in_reference,
RPS3A,ENSG00000145425,RPS3A,RPS3A,ribosomal protein S3A,dimgrey,MC100_vs_MC1,1,1,3.868646723079968e-07,1.072213675831436,1.072213675831436,MC100_vs_MC1,1.072213675831436,3.868646723079968e-07,up_in_tested,1,0,,,1.072213675831436,,,,,3.868646723079968e-07,,,,,up_in_tested,,
MDK,ENSG00000110492,MDK,MDK,midkine,dimgrey,MC100_vs_MC1,1,1,4.951176389378107e-07,1.622171734856842,1.622171734856842,MC100_vs_MC1,1.622171734856842,4.951176389378107e-07,up_in_tested,1,0,,,1.622171734856842,,,,,4.951176389378107e-07,,,,,up_in_tested,,
NDUFA12,ENSG00000184752,NDUFA12,NDUFA12,NADH:ubiquinone oxidoreductase subunit A12,dimgrey,MC100_vs_MC1,1,1,1.30904529071888e-06,1.105952750927939,1.105952750927939,MC100_vs_MC1,1.105952750927939,1.30904529071888e-06,up_in_tested,1,0,,,1.105952750927939,,,,,1.30904529071888e-06,,,,,up_in_tested,,
DDX41,ENSG00000183258,DDX41,DDX41,DEAD-box helicase 41,darkgrey,MC100_vs_MC1,1,1,1.30904529071888e-06,1.0059785537141892,1.0059785537141892,MC100_vs_MC1,-1.0059785537141892,1.30904529071888e-06,up_in_reference,0,1,,,-1.0059785537141892,,,,,1.30904529071888e-06,,,,,up_in_reference,,
