gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,neg_log10_padj,is_deg,is_priority_contrast,has_wgcna_module,regulation,selected_priority_deg,string_gene_label
ENSG00000213445,SIPA1,signal-induced proliferation-associated 1,MA100_vs_CTR,88.1298336873406,-1.111184703394898,0.3601059535522499,-3.085716002286726,0.0020306267229174,0.0206769556895007,True,up_in_CTR,silver,silver,29,1.111184703394898,1.6845134029367035,True,True,True,up_in_reference,True,SIPA1
ENSG00000213965,NUDT19,nudix hydrolase 19,MA100_vs_CTR,147.98977898674696,-1.2444544546491152,0.4060679813659799,-3.0646456055532156,0.0021792806433124,0.0215367926614717,True,up_in_CTR,dimgrey,dimgrey,11,1.2444544546491152,1.6668189729572285,True,True,True,up_in_reference,True,NUDT19
ENSG00000198000,NOL8,nucleolar protein 8,MA100_vs_CTR,239.80855922972745,-1.0680806167247074,0.350461277665076,-3.0476423068497622,0.0023064428914582,0.0223317052449158,True,up_in_CTR,dimgrey,dimgrey,11,1.0680806167247074,1.651078113015383,True,True,True,up_in_reference,True,NOL8
ENSG00000164296,TIGD6,tigger transposable element derived 6,MA100_vs_CTR,114.4122436113218,-1.0464648355527202,0.3446797057327776,-3.036050043410507,0.0023969957714056,0.0228212528195129,True,up_in_CTR,dimgrey,dimgrey,11,1.0464648355527202,1.6416605177764168,True,True,True,up_in_reference,True,TIGD6
ENSG00000158480,SPATA2,spermatogenesis associated 2,MA100_vs_CTR,182.91827040544615,1.0937344668594569,0.3611949299715157,3.028100275232851,0.0024609641184919,0.0231455893604508,True,up_in_MA100,darkgrey,darkgrey,7,1.0937344668594569,1.635531756219132,True,True,True,up_in_tested,True,SPATA2
ENSG00000116678,LEPR,leptin receptor,MA100_vs_CTR,93.1084812536856,1.1744155445616218,0.3887883162546492,3.0207068871699354,0.002521853577119,0.0236140065723549,True,up_in_MA100,darkgrey,darkgrey,7,1.1744155445616218,1.626830320221498,True,True,True,up_in_tested,True,LEPR
ENSG00000123685,BATF3,basic leucine zipper ATF-like transcription factor 3,MA100_vs_CTR,102.39886356192528,-1.0019704649633814,0.3332628620650225,-3.0065470204354425,0.0026423318479637,0.0243605417459356,True,up_in_CTR,dimgrey,dimgrey,11,1.0019704649633814,1.6133130578021229,True,True,True,up_in_reference,True,BATF3
ENSG00000148356,LRSAM1,leucine rich repeat and sterile alpha motif containing 1,MA100_vs_CTR,162.0494814205923,1.1422140598524428,0.3801254888656067,3.0048341753169625,0.0026572567742939,0.0244219796178374,True,up_in_MA100,darkgrey,darkgrey,7,1.1422140598524428,1.6122191355484883,True,True,True,up_in_tested,True,LRSAM1
ENSG00000064666,CNN2,calponin 2,MA100_vs_CTR,144.9562870066238,1.0189051420581916,0.3395710710968588,3.0005652094184443,0.0026947904636171,0.0245534766298601,True,up_in_MA100,gainsboro,gainsboro,13,1.0189051420581916,1.6098870056076682,True,True,True,up_in_tested,True,CNN2
ENSG00000104419,NDRG1,N-myc downstream regulated 1,MA100_vs_CTR,76.90693495627879,1.526197458738546,0.5096900689113897,2.994363735589829,0.002750178690912,0.0249145401529099,True,up_in_MA100,gainsboro,gainsboro,13,1.526197458738546,1.6035471241821377,True,True,True,up_in_tested,True,NDRG1
ENSG00000149743,TRPT1,tRNA phosphotransferase 1,MA100_vs_CTR,80.014758354987,-1.2351144327164734,0.413188915657898,-2.989224507026933,0.0027968654048978,0.025188171742012,True,up_in_CTR,dimgrey,dimgrey,11,1.2351144327164734,1.59880335418394,True,True,True,up_in_reference,True,TRPT1
ENSG00000145723,GIN1,gypsy retrotransposon integrase 1,MA100_vs_CTR,80.12526529631234,-1.1623405558235105,0.3889317817307171,-2.988546090656779,0.002803082186524,0.025188171742012,True,up_in_CTR,dimgrey,dimgrey,11,1.1623405558235105,1.59880335418394,True,True,True,up_in_reference,True,GIN1
ENSG00000145945,FAM50B,family with sequence similarity 50 member B,MA100_vs_CTR,102.85763237723434,-1.071030722037575,0.3585035676168079,-2.9875036646284165,0.0028126592274776,0.0251952082382834,True,up_in_CTR,dimgrey,dimgrey,11,1.071030722037575,1.5986820478514285,True,True,True,up_in_reference,True,FAM50B
ENSG00000135622,SEMA4F,ssemaphorin 4F,MA100_vs_CTR,80.52917585885145,-1.188071771692019,0.3985121906286102,-2.98126832661747,0.0028705715183018,0.025571368789591,True,up_in_CTR,dimgrey,dimgrey,11,1.188071771692019,1.5922460243453562,True,True,True,up_in_reference,True,SEMA4F
ENSG00000137720,CFAP68,cilia and flagella associated protein 68,MA100_vs_CTR,94.2038936273663,-1.2832264541906224,0.4331938135644698,-2.962245567709722,0.0030540410149941,0.0268181086752308,True,up_in_CTR,dimgrey,dimgrey,11,1.2832264541906224,1.5715718536609322,True,True,True,up_in_reference,True,CFAP68
ENSG00000082397,EPB41L3,erythrocyte membrane protein band 4.1 like 3,MA100_vs_CTR,137.41550670272656,-1.0260771070359127,0.3480419344937658,-2.948142178695688,0.0031968999572002,0.0276373209050863,True,up_in_CTR,silver,silver,29,1.0260771070359127,1.5585040587120906,True,True,True,up_in_reference,True,EPB41L3
ENSG00000198899,MT-ATP6,ATP synthase F0 subunit 6,MA100_vs_CTR,130754.17093483049,-1.050468839562314,0.3607977150715304,-2.911517439499449,0.0035967782845987,0.0301085795581113,True,up_in_CTR,dimgrey,dimgrey,11,1.050468839562314,1.5213097328507579,True,True,True,up_in_reference,True,MT-ATP6
ENSG00000213339,QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1,MA100_vs_CTR,161.3873039047306,1.0774912144502298,0.371023767239339,2.9041029432358836,0.0036830703789733,0.0305567363808365,True,up_in_MA100,darkgrey,darkgrey,7,1.0774912144502298,1.5148930325401437,True,True,True,up_in_tested,True,QTRT1
ENSG00000288701,PRRC2B,proline rich coiled-coil 2B,MA100_vs_CTR,139.44158998607804,1.233882959258923,0.4276451365026459,2.8852963682688544,0.0039104534568112,0.0317392092642481,True,up_in_MA100,darkgrey,darkgrey,7,1.233882959258923,1.4984038972551297,True,True,True,up_in_tested,True,PRRC2B
ENSG00000161960,EIF4A1,eukaryotic translation initiation factor 4A1,MA100_vs_CTR,132.67349663660403,1.1235853108944778,0.3902563065986758,2.8790958452080275,0.003988171083396,0.0320971772582938,True,up_in_MA100,darkgrey,darkgrey,7,1.1235853108944778,1.4935331593412446,True,True,True,up_in_tested,True,EIF4A1
ENSG00000143850,PLEKHA6,pleckstrin homology domain containing A6,MA100_vs_CTR,79.22088469287809,1.2732618655210644,0.4431942022564217,2.8729208528418093,0.0040669599037695,0.032466127260605,True,up_in_MA100,gainsboro,gainsboro,13,1.2732618655210644,1.4885695133345418,True,True,True,up_in_tested,True,PLEKHA6
ENSG00000176731,RBIS,ribosomal biogenesis factor,MA100_vs_CTR,189.45840069611504,-1.0360296900748869,0.3621886205474125,-2.8604700183816645,0.0042301354894339,0.0333781776297063,True,up_in_CTR,dimgrey,dimgrey,11,1.0360296900748869,1.4765373784706628,True,True,True,up_in_reference,True,RBIS
ENSG00000160294,MCM3AP,minichromosome maintenance complex component 3 associated protein,MA100_vs_CTR,97.9246822468774,1.181324854391516,0.4187034077899919,2.8213882008431863,0.0047816301072402,0.0365196357613849,True,up_in_MA100,dimgrey,dimgrey,11,1.181324854391516,1.4374735626714048,True,True,True,up_in_tested,True,MCM3AP
ENSG00000136052,SLC41A2,solute carrier family 41 member 2,MA100_vs_CTR,82.56706366226155,-1.1402743032065583,0.406193228401901,-2.8072213505202335,0.004997089155883,0.0374317430097355,True,up_in_CTR,dimgrey,dimgrey,11,1.1402743032065583,1.4267599494849537,True,True,True,up_in_reference,True,SLC41A2
ENSG00000125863,MKKS,MKKS centrosomal shuttling protein,MA100_vs_CTR,119.9282570669081,-1.088739635650189,0.3885874996614151,-2.8017875937821777,0.005082032156315,0.0378125362368774,True,up_in_CTR,dimgrey,dimgrey,11,1.088739635650189,1.4223641918059458,True,True,True,up_in_reference,True,MKKS
ENSG00000178773,CPNE7,copine 7,MA100_vs_CTR,517.2973451717615,1.0609229603068129,0.3904595112145662,2.717113887190756,0.0065853943125894,0.0450662516653981,True,up_in_MA100,darkgrey,darkgrey,7,1.0609229603068129,1.3461485623801128,True,True,True,up_in_tested,True,CPNE7
ENSG00000204525,HLA-C,"major histocompatibility complex, class I, C",MA100_vs_CTR,201.7735155782987,-1.0281185809972126,0.3794463462508952,-2.709522943508346,0.0067380044740803,0.0457225414541838,True,up_in_CTR,dimgrey,dimgrey,11,1.0281185809972126,1.339869637663191,True,True,True,up_in_reference,True,HLA-C
ENSG00000148300,REXO4,RNA exonuclease 4,MA100_vs_CTR,92.15722129142588,1.310615971866904,0.485877407342872,2.697421102648705,0.0069878841515605,0.0468275876548638,True,up_in_MA100,gainsboro,gainsboro,13,1.310615971866904,1.3294982145255476,True,True,True,up_in_tested,True,REXO4
ENSG00000167674,HDGFL2,HDGF like 2,MA100_vs_CTR,105.69411676303928,1.1185879848113496,0.420009485394584,2.6632445782991683,0.0077391140889167,0.050174124893715,False,up_in_MA100,gainsboro,gainsboro,13,1.1185879848113496,1.2995201934721654,True,True,True,up_in_tested,True,HDGFL2
ENSG00000116525,TRIM62,tripartite motif containing 62,MA100_vs_CTR,97.8110198793558,1.1568226430731572,0.4361348546049621,2.6524425435361554,0.0079911727221424,0.0510985658779245,False,up_in_MA100,darkgrey,darkgrey,7,1.1568226430731572,1.2915912885158511,True,True,True,up_in_tested,True,TRIM62
