gene_id,gene_symbol,gene_name,contrast,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction,dynamic_module,module,module_label,abs_log2FoldChange,is_priority_contrast,is_deg_priority,regulation,string_gene_label
ENSG00000168916,ZNF608,zinc finger protein 608,MC1_vs_CTR,255.87996825046503,1.111231794899618,0.2513574450874683,4.42092254125565,9.82804019355235e-06,0.0004243256353566,True,up_in_MC1,darkgrey,darkgrey,7,1.111231794899618,True,True,up_in_tested,ZNF608
ENSG00000153006,SREK1IP1,SREK1 interacting protein 1,MC1_vs_CTR,1110.5990416348648,-1.2177611009502272,0.2765958365040168,-4.402673288007147,1.0692512390630134e-05,0.0004503894853321,True,up_in_CTR,dimgrey,dimgrey,10,1.2177611009502272,True,True,down_in_tested,SREK1IP1
ENSG00000180817,PPA1,inorganic pyrophosphatase 1,MC1_vs_CTR,722.3630643678216,-1.055127399633239,0.2420927563181792,-4.358360058681391,1.3104067078699854e-05,0.0005158061171822,True,up_in_CTR,dimgrey,dimgrey,10,1.055127399633239,True,True,down_in_tested,PPA1
ENSG00000113272,THG1L,tRNA-histidine guanylyltransferase 1 like,MC1_vs_CTR,541.5864761090551,1.1266875660952878,0.2599749694232864,4.333830939934974,1.4653672333067753e-05,0.0005560487495615,True,up_in_MC1,darkgrey,darkgrey,7,1.1266875660952878,True,True,up_in_tested,THG1L
ENSG00000205531,NAP1L4,nucleosome assembly protein 1 like 4,MC1_vs_CTR,946.3363336679372,1.0443988462585163,0.2410110823495705,4.3334059001639,1.4682005199772009e-05,0.0005560487495615,True,up_in_MC1,gainsboro,gainsboro,12,1.0443988462585163,True,True,up_in_tested,NAP1L4
ENSG00000276043,UHRF1,ubiquitin like with PHD and ring finger domains 1,MC1_vs_CTR,378.2267851837393,-1.0595011389766216,0.2465194296852514,-4.2978402973321845,1.724703522755903e-05,0.0006231303313387,True,up_in_CTR,dimgrey,dimgrey,10,1.0595011389766216,True,True,down_in_tested,UHRF1
ENSG00000145348,TBCK,TBC1 domain containing kinase,MC1_vs_CTR,253.92027334545065,-1.1203998351859357,0.2608959553490865,-4.294431600853327,1.7514146564594583e-05,0.0006275296912252,True,up_in_CTR,dimgrey,dimgrey,10,1.1203998351859357,True,True,down_in_tested,TBCK
ENSG00000197713,RPE,ribulose-5-phosphate-3-epimerase,MC1_vs_CTR,240.79678944002,-1.0392348539761085,0.2432468565077427,-4.272346491528159,1.9342670738337263e-05,0.0006762103717633,True,up_in_CTR,dimgrey,dimgrey,10,1.0392348539761085,True,True,down_in_tested,RPE
ENSG00000196700,ZNF512B,zinc finger protein 512B,MC1_vs_CTR,211.4289050453906,1.4016305258048074,0.3286783424533253,4.26444442716468,2.0040021231331483e-05,0.0006949621820584,True,up_in_MC1,darkgrey,darkgrey,7,1.4016305258048074,True,True,up_in_tested,ZNF512B
ENSG00000161011,SQSTM1,sequestosome 1,MC1_vs_CTR,322.0566306755036,2.156204767248233,0.5063487702323433,4.2583391014435295,2.059513741445075e-05,0.0007113560462951,True,up_in_MC1,dimgrey,dimgrey,10,2.156204767248233,True,True,up_in_tested,SQSTM1
ENSG00000140740,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,MC1_vs_CTR,159.4750493155976,-1.55943139505906,0.366335680690261,-4.256837314128755,2.0733911604931305e-05,0.0007132961223449,True,up_in_CTR,dimgrey,dimgrey,10,1.55943139505906,True,True,down_in_tested,UQCRC2
ENSG00000167766,ZNF83,zinc finger protein 83,MC1_vs_CTR,202.31520076808945,-1.2423595984123157,0.29313638810137,-4.238162332759224,2.2535680500640376e-05,0.0007601390668868,True,up_in_CTR,dimgrey,dimgrey,10,1.2423595984123157,True,True,down_in_tested,ZNF83
ENSG00000125863,MKKS,MKKS centrosomal shuttling protein,MC1_vs_CTR,119.93009058047936,-1.6534061148005428,0.3914034219426947,-4.224301633833486,2.396828569858744e-05,0.0007978492330413,True,up_in_CTR,dimgrey,dimgrey,10,1.6534061148005428,True,True,down_in_tested,MKKS
