module,corr_particle_size_um,pval_particle_size_um,padj_particle_size_um,significant_particle_size_um_padj005,significant_particle_size_um_padj010,corr_concentration_gL,pval_concentration_gL,padj_concentration_gL,significant_concentration_gL_padj005,significant_concentration_gL_padj010,corr_is_100nm,pval_is_100nm,padj_is_100nm,significant_is_100nm_padj005,significant_is_100nm_padj010
ME_antiquewhite,0.5715838264056975,0.0067914064350416675,0.06565026220540279,False,True,-0.2091118233212433,0.3629765735725227,0.8097169718156276,False,False,-0.5715838264056975,0.0067914064350416675,0.06565026220540279,False,True
ME_bisque,-0.4187203533398706,0.058865853919418155,0.2845182939438544,False,False,0.0688262973121112,0.7668939323017899,0.9280083521994594,False,False,0.41872035333987057,0.058865853919418155,0.2845182939438544,False,False
ME_blanchedalmond,-0.1308150512260208,0.571937401584174,0.7898183164733832,False,False,0.02696414183326943,0.9076370955520312,0.9582423822650649,False,False,0.1308150512260208,0.571937401584174,0.7898183164733832,False,False
ME_brown,-0.1438535110549066,0.5338743024784759,0.7898183164733832,False,False,0.25023425301377883,0.2739450906597494,0.7944407629132733,False,False,0.14385351105490662,0.5338743024784759,0.7898183164733832,False,False
ME_burlywood,0.2790750278645205,0.22053963120574743,0.5934073221723475,False,False,0.1860355183582419,0.4194335658720604,0.8109048940193166,False,False,-0.2790750278645205,0.22053963120574743,0.5934073221723475,False,False
ME_chocolate,-0.07497416276554783,0.7467016496823886,0.8818015346411064,False,False,-0.4008726761203259,0.07171192000619617,0.693215226726563,False,False,0.07497416276554783,0.7467016496823886,0.8818015346411064,False,False
ME_coral,-0.10092216938598202,0.6633603152749082,0.8364108323031452,False,False,0.11675877800700202,0.6142455930827259,0.8482439142570977,False,False,0.10092216938598202,0.6633603152749082,0.8364108323031452,False,False
ME_darkgrey,0.6222385633532055,0.002594925146939894,0.05919624370927216,False,True,0.2162595815785674,0.34642308453332965,0.8097169718156276,False,False,-0.6222385633532055,0.002594925146939894,0.05919624370927216,False,True
ME_darkorange,-0.5994001708496393,0.0040824995661567,0.05919624370927216,False,True,0.3208777181465471,0.15612220985743805,0.7944407629132733,False,False,0.5994001708496393,0.0040824995661567,0.05919624370927216,False,True
ME_darksalmon,0.443179478683182,0.044204316717334304,0.25638503696053894,False,False,-0.40296965705887283,0.07010201652741999,0.693215226726563,False,False,-0.443179478683182,0.044204316717334304,0.25638503696053894,False,False
ME_dimgrey,-0.18672027548836062,0.41769323927213586,0.7331959097856707,False,False,-0.25853727547844824,0.2578060662601495,0.7944407629132733,False,False,0.18672027548836057,0.41769323927213586,0.7331959097856707,False,False
ME_firebrick,0.33355206160875034,0.13950628612072016,0.5170760835223672,False,False,-0.28353954392295455,0.21293545843810455,0.7944407629132733,False,False,-0.3335520616087503,0.13950628612072044,0.5170760835223672,False,False
ME_gainsboro,-0.2764543534617769,0.22508553599640765,0.5934073221723475,False,False,0.42722392941343534,0.053400602374416205,0.693215226726563,False,False,0.2764543534617769,0.22508553599640765,0.5934073221723475,False,False
ME_indianred,-0.18198626724826264,0.4298044988398759,0.7331959097856707,False,False,0.14959383550002076,0.517498724889699,0.8433143434134183,False,False,0.1819862672482626,0.4298044988398759,0.7331959097856707,False,False
ME_lightsalmon,-0.22742060704539993,0.3214767025369403,0.717140336428559,False,False,0.25040771219501373,0.2736015913877295,0.7944407629132733,False,False,0.22742060704539993,0.3214767025369403,0.717140336428559,False,False
ME_linen,0.014907019782952238,0.9488644975212236,0.9488644975212236,False,False,-0.017534474961694545,0.9398660646360703,0.9582423822650649,False,False,-0.014907019782952294,0.9488644975212228,0.9488644975212228,False,False
