sample_id,ME_antiquewhite,ME_bisque,ME_blanchedalmond,ME_brown,ME_burlywood,ME_chocolate,ME_coral,ME_darkgrey,ME_darkorange,ME_darksalmon,ME_dimgrey,ME_firebrick,ME_gainsboro,ME_indianred,ME_lightsalmon,ME_linen,ME_maroon,ME_mistyrose,ME_navajowhite,ME_orangered,ME_peachpuff,ME_peru,ME_red,ME_saddlebrown,ME_sandybrown,ME_seashell,ME_sienna,ME_tan,ME_white
CTR_1,-0.375385996004514,-1.6373748540302864,1.0219088972346249,0.38747081247935095,-1.306192715039274,1.4341950231895924,0.5676100748012711,-10.19653195173305,1.226707474451726,-0.09765180212946699,14.115443658960833,1.3697597261278178,-2.7018344123533886,-0.917706281378765,0.7487214947390843,0.2703673243318857,0.09580356173350184,14.217256726043324,1.952416385298408,0.33638647940862426,3.1278169019165847,-0.0733633197018416,-0.3075370087293426,0.03755632768592946,1.6940457988737436,-1.1160490301007113,0.6465242986114966,0.787012501647351,-0.5493826322126382
CTR_2,-3.516172297330535,-0.4048515048782122,-0.6206452984954364,-1.454855976218505,-3.130497757884758,3.3043829166178624,1.077420003141956,-16.035923858629094,0.7887361689051265,-1.4967748068174034,18.687275470698275,2.184544793779573,-8.494629449126935,-0.2784267756071827,-3.8726489321123774,-1.7468190836740156,1.1503191191118798,3.4309015755096413,1.3697980137346488,-1.5816728397575437,-0.7037739296298134,4.412278212540439,2.5594473667825213,2.8617983297804455,-1.6608027847945432,1.9349026947297188,-5.278874684507973,3.7167571548678087,-11.175794904795168
CTR_3,-0.23697691267399087,3.9931951042437555,-3.561609264674058,0.6459618255644786,-3.2603108263937695,-8.150420244342532,-2.025751346728424,-17.803952931974305,0.20692398324343164,-2.0596463710381756,13.313162926274387,0.41947093353895953,-18.051464109010748,-0.7069329150086338,2.1472991769470147,0.8522995033596779,0.14908751719941993,13.363913670337084,-1.7827229237350735,-0.9682660973757516,-0.6019133037507848,-1.0727234161956805,-1.0932699101486953,1.0530366100962303,0.034980253057599546,1.646321615368719,-4.148310214128185,-0.32421390115188636,-7.387820414108227
MA1_1,1.869364737798858,-0.892133315364792,2.5135528087189276,0.35025669583983493,0.45326019268964507,-3.2561637093501457,1.1706042453614074,0.13991382325822563,1.5205273524450718,0.8784953477753662,13.866375207766058,0.6303189056651084,-5.6167437474373525,0.5481815708213361,-1.3007222150805555,4.2027594160322375,2.018891386679347,2.170700997803754,-1.0981858724192628,-5.99832692203089,3.3518343709249288,3.0299962959342794,1.3221478128226243,0.8879397599967334,-2.262799314865932,1.6503790178320266,2.2491963076547923,1.5954445283758378,-1.689926431938292
MA1_2,1.198301129228491,-1.2952834881220814,2.0053079520184864,2.453625034551155,2.719077237360152,2.0054030730747603,-2.5718768381444543,1.9768734101496177,-2.085860326262076,-2.18863040552477,9.789449794660579,0.7178138894549151,1.2811602613550195,-1.111218777202125,0.4703490679997952,-7.373488847228528,1.503278252967279,-2.0795877784401102,0.24874220647022643,-0.6549310261477623,-2.649666484809735,-6.092502414562917,2.3461850816255994,0.8449020160723009,-2.001848480004337,1.8846290152534657,2.0574513896876607,-3.4969129063788453,-1.1871309818669273
MA1_3,0.9260381623211487,1.330925837512588,-1.1218272277382118,3.073039720043648,1.582117265555085,-0.6146475978335179,2.6428387923966348,-0.9001201338324276,-0.24848374033798692,1.0877119095673426,0.7608114388110485,3.2920365518524166,9.772832024627192,2.9255187758237255,1.9344407156443606,2.0728742528376203,4.37658992828488,15.568094335437785,0.8537076744547167,-1.2485634725912744,3.5621821741740383,0.9619147483567217,-0.39898963054385217,0.8390325486607414,-0.909534650092922,0.5766424805866109,1.6533848421045034,1.5818689099641279,7.804055107945321
MB1_1,2.685035326372805,-3.073712512343848,2.233145045371228,0.9538191271364901,1.9357855711151095,0.36704666997989877,-1.4172397780442163,15.465637618372687,-2.447460348988623,1.7661537901304156,-6.363278216004612,1.774337309247845,-5.809133560077905,-0.15748977254655563,0.27497667249900726,0.1409125826400948,-0.7824638023351416,-1.4284185026312,0.4531291976925762,-2.904673084674359,1.8270227252515832,2.3391646100519097,-3.0244872979862842,1.3173647529533714,2.689577395542649,-0.5630969611836992,1.0957188048378175,-0.44459043752312316,2.270621780869986
MB1_2,1.7707224447502237,-0.8374420515474907,2.0054191320820984,-0.31238100850112466,2.0291682924290284,0.5910399735212306,-0.25473131771332963,2.248437122140815,-3.0139180709835056,1.3497267614376347,16.959831475142035,-1.8022625134581929,-22.48608048227884,-0.25407817797811877,-2.458815124052642,2.6151784566910248,2.7619889892519036,-9.724423263439684,-4.2290559882831475,-5.495518330062355,-4.143091555157119,0.9249279495828068,-3.773691523621576,1.0826479350245404,-2.1137123775488296,0.4187480846575497,1.161694557340043,2.4787399301290214,1.7378690940866217
MB1_3,-0.598551767304375,-2.808369789547775,-0.829307473526311,1.264366809290682,-8.053994835751773,0.6871767772139725,3.5290571247462728,13.948233316993035,-2.4262150221963363,0.46492866643977077,1.8091978322629365,-0.21662564065824605,-6.152399419101524,6.505571778008436,-4.047901851658038,-4.500704529224199,-49.82052358029797,-46.55635153354408,2.3509201877361385,-1.9279779015391243,-6.59075799986891,3.384719285528834,3.420061304116022,-7.484474164973948,-1.8752890272900868,2.432317448802677,-4.558596398633692,-4.166899181707829,-2.973162526706558
MC1_1,0.7433265906643144,-2.5418218538077073,0.0711661715284394,2.3945199086043907,-0.3125383294333132,0.934522703152993,1.8509928593773681,8.651558345840865,-1.6409258741439035,1.2035371971816895,-11.920314626796724,4.328824182547114,2.3861711353587762,3.580321572738576,-5.3237019142529975,3.0340880053909167,3.9017715303844365,-12.377232800588425,1.679671167504259,4.660327695351017,2.81752976155201,-4.473075355460678,2.0460367332614084,-6.149607749559662,0.5145032997242532,-0.020628791682119067,0.1685767331648739,0.9691423728336902,-3.0060327884785107
