,particle_size_um,concentration_gL,is_100nm,group_MA1,group_MA100,group_MB1,group_MB100,group_MC1,group_MC100,group_MD1
ME_antiquewhite,0.5715838264056975,-0.2091118233212435,-0.5715838264056975,0.23494443036041887,-0.5115485425236892,0.22552308258731654,-0.18209747281334768,0.3047324144264143,-0.11469558399900942,0.04314167196189678
ME_bisque,-0.4187203533398707,0.06882629731211107,0.4187203533398707,-0.03696355708411361,0.15395524453265708,-0.41205120246593385,0.20940450220459603,-0.1111092700158276,0.22880025579764657,-0.03203597296902479
ME_blanchedalmond,-0.13081505122602083,0.026964141833269527,0.13081505122602077,0.18422707508592823,-0.1566853376508582,0.1849915621127708,0.2967467776215874,-0.4755614236250052,0.044938979635640586,-0.07865763318006365
ME_brown,-0.1438535110549066,0.2502342530137789,0.14385351105490657,0.1252666325812382,0.09249521157346273,0.03974617509869241,0.06651999996457116,-0.5165493096587354,0.04442437479080298,0.14809691564996774
ME_burlywood,0.2790750278645204,0.18603551835824192,-0.2790750278645203,0.20580147750189698,-0.07226353700833303,-0.29216369242961604,-0.18922350444358121,0.21071217201487272,-0.13318464787373996,0.27032173223850053
ME_chocolate,-0.07497416276554794,-0.40087267612032584,0.07497416276554789,-0.20937495029406195,-0.329047998184417,0.10303674756973596,0.21242095676186695,-0.0562425242010481,0.2226565192331558,0.05655124911476811
ME_coral,-0.10092216938598196,0.11675877800700202,0.10092216938598199,0.08198991625820637,0.15134200545510662,0.12449950014243374,-0.06885545314051089,-0.15106581708505118,0.060238948375174725,-0.19814910000535957
ME_darkgrey,0.6222385633532057,0.21625958157856728,-0.6222385633532057,-0.05714508861114066,0.15296768152478646,0.28572713623861357,-0.315751622823543,0.3143916495589456,-0.7171942740268973,0.33700451813923554
ME_darkorange,-0.5994001708496395,0.32087771814654703,0.5994001708496393,-0.036168856169971536,0.6217790892872307,-0.5516474967354974,0.25901583506893666,0.09045017292878456,-0.03311507345185684,-0.35031367092762616
ME_darksalmon,0.4431794786831822,-0.40296965705887267,-0.4431794786831821,-0.02638020839845044,-0.6487823860613524,0.10839348522069081,-0.012335468977439083,0.17670969350615015,0.03436742571959709,0.3680274589908038
ME_dimgrey,-0.18672027548836087,-0.25853727547844835,0.18672027548836093,0.2350678929443404,-0.496081813486096,0.14400489818006854,0.26650792670043977,-0.4673462669829729,0.49363623275133656,-0.17578887010711655
ME_firebrick,0.33355206160875034,-0.2835395439229546,-0.33355206160875034,0.10690383461647855,-0.5241613439157945,0.006633058066725211,-0.0352169827186326,0.19834651111745322,0.08766447734982609,0.159830445483944
ME_gainsboro,-0.2764543534617769,0.42722392941343534,0.27645435346177694,0.020570617546063857,0.5215041226352425,-0.6311162475925378,-0.1051006869395866,0.14224484337540264,-0.025437939652925432,0.07733529062834095
ME_indianred,-0.18198626724826256,0.1495938355000207,0.18198626724826253,0.036234501389324714,0.077626697332667,0.10090917765106974,0.07502759613206351,-0.4953724552109401,0.10471315384341705,0.10086132886239814
ME_lightsalmon,-0.22742060704540035,0.2504077121950138,0.22742060704540035,0.06590485901553725,0.17201080967206228,-0.4353296665797218,0.10672603968321642,-0.13986967734198208,0.0428844574914488,0.18767317805943906
ME_linen,0.014907019782952058,-0.017534474961694718,-0.01490701978295203,-0.051896700431294934,-0.10564561878380951,-0.08017308026164793,0.07404058153310819,-0.12369997226220308,0.010523327699086454,0.27685146250676074
ME_maroon,-0.1625053819002605,0.1275683009498329,0.16250538190026056,0.09790534390859289,0.039560755376539386,-0.5759856688734077,0.0776669398043984,0.12472961814510747,0.11258961986102994,0.1235333917777395
ME_mistyrose,-0.3310821963795141,0.034048453465423886,0.3310821963795141,0.1992955906086108,-0.19493617893100101,-0.5285471230416396,0.1599442588414783,-0.2805357576775438,0.5032128524697039,0.14156635773039125
ME_navajowhite,-0.06384664356689457,0.06848875780934655,0.0638466435668946,0.013058104638177234,0.01779434585714569,-0.07019026417921229,-0.03084569784133212,-0.1556783123194167,0.10334414122848967,0.1225176826161486
ME_orangered,-0.4805008217574674,0.10601542038503427,0.4805008217574674,-0.3882795962528991,0.4184053610247638,-0.5029177598956878,0.0826309041693623,-0.062074097694366004,0.17849451366670166,0.2737406749821252
ME_peachpuff,0.025959547921063433,0.1877618823087211,-0.02595954792106346,0.17351998511947583,-0.15147894979262122,-0.331593172067134,-0.08610439376459736,-0.2932990722997753,0.2008709988141763,0.4880846039904757
ME_peru,0.038332932101149325,-0.16957443135240702,-0.03833293210114935,-0.06313217186645653,-0.15575509775663002,0.2749163796496852,0.038005778299018564,-0.13060301815286382,0.06353836699463908,-0.02697023716739244
ME_red,-0.30282207342015754,0.25312497021617086,0.3028220734201575,0.15804075498705772,0.4722058822532765,-0.14781412782827813,0.06214282599932636,0.20453636906243508,-0.10609362503587479,-0.6430180794379428
ME_saddlebrown,-0.19671754597849303,0.2302473902601685,0.19671754597849303,0.15035007650823076,0.0671924840574487,-0.21666094484777634,0.06077728931841121,-0.3600504403581312,0.15023084810367793,0.14816068721813896
ME_sandybrown,-0.1339105818201785,0.012170624636484134,0.1339105818201785,-0.3835278802316061,0.4150215719173621,-0.09577568167778452,-0.2355122774288255,0.263155734998217,0.009868866466831893,0.02676966595580524
ME_seashell,0.10417657309919569,-0.03219722761841808,-0.10417657309919565,0.1686001361405626,-0.30586375481675665,0.09971896865143377,0.01892340498527067,-0.29835156142604735,0.1396124272730513,0.17736037919248557
ME_sienna,-0.061670388142148674,0.14269676274282594,0.061670388142148674,0.22203422038788062,-0.005668178120983802,-0.16776774180296566,0.06913919064711235,-0.06892516490994725,0.023744086781311007,-0.07255641298240727
