gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000138778,2525.936852726996,-0.7979665133466737,0.11314722833930246,-7.052461868122443,1.7577959367066414e-12,1.2272931230085771e-08,MB1_vs_CTR,True,up_in_CTR
ENSG00000117984,3034.2008674790836,0.8385685356713215,0.13063681904113444,6.419082627901986,1.3709798531355973e-10,3.3816535137252243e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000197746,8147.881175352323,0.6973115293259884,0.10878107124530746,6.410228556708285,1.4530164052099216e-10,3.3816535137252243e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000135046,4815.356288677479,-0.8649590342849242,0.13671105261253302,-6.32691371879342,2.50113110958437e-10,4.3657243517795177e-07,MB1_vs_CTR,True,up_in_CTR
ENSG00000165283,2685.720596747721,0.7807329579155591,0.12559023334234537,6.216510130906164,5.083335773151389e-10,6.775959836343954e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000119681,5298.756043026825,0.5753937795223695,0.0928780964524988,6.19515043373705,5.822938845325655e-10,6.775959836343954e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000185112,1161.6775496484256,1.1624776063377433,0.18888389227697105,6.154456011702349,7.533562964735112e-10,7.514190945682936e-07,MB1_vs_CTR,True,up_in_MB1
ENSG00000130309,2464.326696142199,0.7325482530365056,0.125108743271918,5.855292235206505,4.761719637402702e-09,4.155790813543208e-06,MB1_vs_CTR,True,up_in_MB1
ENSG00000162909,3785.8113509676964,-0.8103528345785846,0.1401114278494873,-5.783631264175643,7.310509382569681e-09,5.6713307232335016e-06,MB1_vs_CTR,True,up_in_CTR
ENSG00000136295,2235.948871934839,0.8570355916554662,0.15048928744214515,5.694994017331295,1.2337624726816918e-08,8.614129584263573e-06,MB1_vs_CTR,True,up_in_MB1
ENSG00000113739,10063.527674951089,0.7143394873951647,0.1267076847816697,5.637696629261633,1.7233976982120266e-08,1.0342850899276092e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000087460,5336.872231517368,-0.9830634965742991,0.17453855971329008,-5.632357103147591,1.7776312058337594e-08,1.0342850899276092e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000164134,1104.7728514404432,-0.7933976456904991,0.14147138541653087,-5.60818460464296,2.044598798014301e-08,1.0981068313642961e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000147133,1810.4761484837784,1.0778846675138598,0.1931372147757092,5.580926849160637,2.39240254120335e-08,1.1931253244772708e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000137193,321.1353262732337,1.5516081515679754,0.27973346923106107,5.546737599305074,2.910490292313549e-08,1.3547362147288799e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000034152,7660.3722083708635,0.8139861159094074,0.1471510640874335,5.531635948114905,3.1725783281440834e-08,1.3844338679438744e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000162604,1167.8365327586332,0.6481562301091625,0.11752014188059699,5.515277804614151,3.4822944947159265e-08,1.430198833065094e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000117298,4422.693376465871,0.6032059260959484,0.11125281009864303,5.421938785735946,5.895607303892546e-08,2.2868405664320978e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000164885,249.43465083219053,1.0844490753478038,0.2007084419646494,5.403106440031091,6.549656695547862e-08,2.290616941444679e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000119326,1715.175616327873,-0.6479743118103234,0.11993343899961287,-5.402782720275494,6.561492241319619e-08,2.290616941444679e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000049245,1298.757702555745,-0.7193653969311873,0.13484892165755633,-5.334602517311841,9.575407722804827e-08,3.183595081934443e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000102531,497.0932715529328,-0.8543576847856041,0.16064739317173102,-5.318216921654629,1.0478909384167207e-07,3.2919314514516333e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000112312,669.7349280296938,-0.8558106359761705,0.16110962860672362,-5.311976964860651,1.0844231363991343e-07,3.2919314514516333e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000107959,878.528738768603,-0.689639518125622,0.13169600387231528,-5.23660170276887,1.6356013126202182e-07,4.758236818630985e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000138182,2488.2053138741917,-0.5571680350976581,0.10656982441564751,-5.228196988713907,1.7117108226061748e-07,4.7804659853745244e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000168010,225.36487115861618,1.366331111772992,0.26184025758007373,5.21818579159911,1.806841745339225e-07,4.852065025368642e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000116133,3872.875271636294,0.6696596602275742,0.1292630483055908,5.180596226111206,2.2117779319459419e-07,5.5496240301311265e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000114315,507.36616844999145,-1.2483874008218019,0.24102765244858498,-5.179436417935916,2.2255725127996497e-07,5.5496240301311265e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000149577,580.8663970198791,0.9764713037480633,0.19093801180549966,5.114074952989207,3.152821580544885e-07,7.423903118072888e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000136193,1367.7713186571991,-0.6725449847583999,0.13157249940545382,-5.111592375287218,3.1945454816373046e-07,7.423903118072888e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000159228,1646.3513737488458,-0.752632418338331,0.14741103047111886,-5.105672322708501,3.2962044780902255e-07,7.423903118072888e-05,MB1_vs_CTR,True,up_in_CTR
ENSG00000137216,536.7499796491043,1.2239818269182297,0.2406933242997981,5.085233794825511,3.671734928830972e-07,8.011266647843077e-05,MB1_vs_CTR,True,up_in_MB1
ENSG00000185896,9880.606499531195,0.6328714742024245,0.12610356319482452,5.018664486305321,5.203193164122277e-07,0.00011008695355121739,MB1_vs_CTR,True,up_in_MB1
ENSG00000196396,3192.7096209888164,0.7905362927892067,0.15772518034627658,5.012112150093153,5.383580999715185e-07,0.0001105534192353277,MB1_vs_CTR,True,up_in_MB1
ENSG00000163535,1463.7122105320138,-0.6020202473503301,0.12063515566541949,-4.990421275038827,6.024775143644896e-07,0.0001201856572940819,MB1_vs_CTR,True,up_in_CTR
