gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000130731,1196.9958106095662,0.18057636309493388,0.16043066470516598,1.1255726168484743,0.26034646415202867,0.4823284321782788,MA100_vs_CTR,False,up_in_MA100
ENSG00000148180,1537.0244866194396,0.15093859973113927,0.13410727044226195,1.1255064638432397,0.2603744796915489,0.4823284321782788,MA100_vs_CTR,False,up_in_MA100
ENSG00000143995,572.5617365264571,0.19450760566597833,0.17282148000476955,1.125482814176862,0.2603844957391249,0.4823284321782788,MA100_vs_CTR,False,up_in_MA100
ENSG00000205542,21105.054400343277,-0.13884203231676656,0.12354146333358104,-1.1238496660985113,0.26107680749505635,0.48350988711662735,MA100_vs_CTR,False,up_in_CTR
ENSG00000162813,318.20417018968374,-0.30930261684508986,0.27545320869254164,-1.1228862365162375,0.26148581368093116,0.4840959486843432,MA100_vs_CTR,False,up_in_CTR
ENSG00000141179,143.52160292132663,-0.35175414206138295,0.31331196300257336,-1.1226961737764665,0.2615665535771091,0.4840959486843432,MA100_vs_CTR,False,up_in_CTR
ENSG00000135829,2027.695241347409,-0.1371576902143068,0.12217882041960457,-1.122597924445985,0.2616082972914525,0.4840959486843432,MA100_vs_CTR,False,up_in_CTR
ENSG00000160741,291.439111487112,0.20192887983354066,0.17987762895663878,1.12259029099287,0.26161154074994264,0.4840959486843432,MA100_vs_CTR,False,up_in_MA100
ENSG00000184117,347.79451469295446,0.29024456262747805,0.25877059213913367,1.1216288536814172,0.2620202782232408,0.48475117583281946,MA100_vs_CTR,False,up_in_MA100
ENSG00000126243,86.38283656058586,0.44160878317692637,0.39398468174749796,1.1208780534770901,0.2623397738470331,0.4852410620927921,MA100_vs_CTR,False,up_in_MA100
ENSG00000085644,146.9811693776509,-0.3409996598376761,0.3043077104812825,-1.1205751549915146,0.2624687454574538,0.48527660804627537,MA100_vs_CTR,False,up_in_CTR
ENSG00000189308,322.95600926852677,-0.2983541796369125,0.2662514294152895,-1.120573062432466,0.2624696366036562,0.48527660804627537,MA100_vs_CTR,False,up_in_CTR
ENSG00000149136,4647.551372085598,0.12053299365050137,0.10757575968041701,1.1204475246893661,0.26252310247030497,0.48527660804627537,MA100_vs_CTR,False,up_in_MA100
ENSG00000166478,163.4090930754662,-0.3765957199890464,0.3362093303830071,-1.1201227507875269,0.26266145687002984,0.4854312049779239,MA100_vs_CTR,False,up_in_CTR
ENSG00000116205,160.52897834465094,0.3602782921992732,0.32169709748002384,1.1199301921635931,0.26274351104066285,0.48548170931925017,MA100_vs_CTR,False,up_in_MA100
ENSG00000081014,255.72317506646118,0.2867927465251258,0.25617659402589543,1.1195119039491,0.2629218153582292,0.48554919577377215,MA100_vs_CTR,False,up_in_MA100
ENSG00000101361,1719.6099754581971,-0.11124933317330646,0.09937745706176934,-1.1194624662629273,0.2629428947502115,0.48554919577377215,MA100_vs_CTR,False,up_in_CTR
ENSG00000108604,1067.6333582283112,0.24117749489430718,0.2154410540081778,1.1194593157029042,0.2629442381351822,0.48554919577377215,MA100_vs_CTR,False,up_in_MA100
ENSG00000113384,802.8021040931561,-0.15669786315510106,0.14004193957846148,-1.1189352534446135,0.2631677619271493,0.4857528545664332,MA100_vs_CTR,False,up_in_CTR
ENSG00000146063,296.30600119842137,-0.2876575897435645,0.25713271660330284,-1.1187125214694267,0.26326280159358706,0.4857528545664332,MA100_vs_CTR,False,up_in_CTR
ENSG00000102805,165.28259615227128,-0.30757858797750104,0.27494583237945414,-1.1186879441511601,0.26327329017874346,0.4857528545664332,MA100_vs_CTR,False,up_in_CTR
ENSG00000082458,181.10005068832552,-0.2955771062317178,0.2642375225242243,-1.1186038357009664,0.2633091863763548,0.4857528545664332,MA100_vs_CTR,False,up_in_CTR
ENSG00000007944,91.3735096061414,-0.44197879614455726,0.3951322981549504,-1.1185590198734807,0.2633283144639812,0.4857528545664332,MA100_vs_CTR,False,up_in_CTR
ENSG00000157540,462.60414331735154,-0.20777739413576085,0.18582081129757158,-1.1181599772644855,0.2634986742971296,0.48589378566663327,MA100_vs_CTR,False,up_in_CTR
ENSG00000170396,141.95857954517,-0.40824428419154735,0.3651155638025946,-1.1181234783304692,0.26351426026853486,0.48589378566663327,MA100_vs_CTR,False,up_in_CTR
ENSG00000173540,272.27469945267393,-0.29728786735091955,0.2659259750421317,-1.1179346707436872,0.263594896057203,0.48594146361667656,MA100_vs_CTR,False,up_in_CTR
ENSG00000167118,1535.1306489570964,0.17178504281441062,0.1537900555478957,1.117010083665069,0.26399001373367803,0.48655817986166594,MA100_vs_CTR,False,up_in_MA100
ENSG00000146830,380.66098762207906,0.21929257216626302,0.1963412203391806,1.1168952285589029,0.2640391249976395,0.48655817986166594,MA100_vs_CTR,False,up_in_MA100
ENSG00000109079,240.06728994999375,0.25160825929064556,0.2253205677575454,1.1166679624267009,0.26413632102124274,0.48663620016187836,MA100_vs_CTR,False,up_in_MA100
ENSG00000064652,387.5500920063116,-0.2810244712443108,0.25169946787976905,-1.1165080069956668,0.26420474473823696,0.4866611899030108,MA100_vs_CTR,False,up_in_CTR
ENSG00000161791,381.768284098398,0.22838718642008418,0.20461692185381863,1.116169593164183,0.26434954741856365,0.4867834650667951,MA100_vs_CTR,False,up_in_MA100
ENSG00000010165,391.4840096469711,-0.19294234120972548,0.17287247023592883,-1.1160963972251112,0.2643808741620808,0.4867834650667951,MA100_vs_CTR,False,up_in_CTR
ENSG00000183520,1183.752085204502,0.16218916643792447,0.14537512071033315,1.1156597198023597,0.26456781860724765,0.4870265861931716,MA100_vs_CTR,False,up_in_MA100
ENSG00000077238,587.1004696440124,0.20478737435878125,0.1836004528239881,1.1153968915049701,0.26468038102643887,0.48713270956131516,MA100_vs_CTR,False,up_in_MA100
ENSG00000165102,1287.8423631182234,0.1678383658767216,0.150516906443648,1.1150798261958603,0.2648162156476038,0.48716961790415503,MA100_vs_CTR,False,up_in_MA100
ENSG00000141837,284.21158187682795,0.2559062884472517,0.22949703596001705,1.1150744817978202,0.2648185056641311,0.48716961790415503,MA100_vs_CTR,False,up_in_MA100
ENSG00000179832,142.31835305121044,-0.3943291394019312,0.35366934937962946,-1.1149655464733457,0.2648651862418825,0.48716961790415503,MA100_vs_CTR,False,up_in_CTR
