gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,significant,direction
ENSG00000114315,507.36616844999145,-1.549317993667061,0.24197967262560036,-6.402678278122235,1.526746897899175e-10,6.696311894185782e-07,MA1_vs_CTR,True,up_in_CTR
ENSG00000113739,10063.527674951089,0.7571264006590003,0.12669178377574525,5.976128665132504,2.2850255322048806e-09,5.011060992125303e-06,MA1_vs_CTR,True,up_in_MA1
ENSG00000116133,3872.875271636294,0.746613943585849,0.12920933448681032,5.778328218709796,7.544651988880112e-09,1.1030281207742724e-05,MA1_vs_CTR,True,up_in_MA1
ENSG00000159228,1646.3513737488458,-0.8051572032074299,0.14741590941692934,-5.461806709954503,4.713130934000956e-08,5.1679480691320486e-05,MA1_vs_CTR,True,up_in_CTR
ENSG00000197746,8147.881175352323,0.5597418344234207,0.10880332528025467,5.144528744701896,2.681931879018426e-07,0.00017387017670165828,MA1_vs_CTR,True,up_in_MA1
ENSG00000034152,7660.3722083708635,0.7569711693963357,0.14715251903450208,5.144126477500889,2.687684251946325e-07,0.00017387017670165828,MA1_vs_CTR,True,up_in_MA1
ENSG00000188042,2193.2580284173405,0.6759257685290293,0.131551078324647,5.138124119826313,2.7749458205919016e-07,0.00017387017670165828,MA1_vs_CTR,True,up_in_MA1
ENSG00000169710,1710.0524282169374,0.7083652811257812,0.1416955428048358,4.999206517748038,5.756672011006683e-07,0.00031560954300344137,MA1_vs_CTR,True,up_in_MA1
ENSG00000105849,728.2840025240362,-0.7339451804040737,0.1518533700665269,-4.833249206669121,1.3432246669272262e-06,0.0006545981543492015,MA1_vs_CTR,True,up_in_CTR
ENSG00000135046,4815.356288677479,-0.6486194533420722,0.13659179498187152,-4.74859747928605,2.0483215548072986e-06,0.0008238488658326934,MA1_vs_CTR,True,up_in_CTR
ENSG00000010610,839.6363264032592,-0.8127638777695032,0.17122210579958447,-4.746839632499577,2.0661964259369873e-06,0.0008238488658326934,MA1_vs_CTR,True,up_in_CTR
ENSG00000117298,4422.693376465871,0.5256687517212919,0.11126576441654557,4.724442909081595,2.3074702588300087e-06,0.0008433803796023682,MA1_vs_CTR,True,up_in_MA1
